|       | 007 Racing                                                                                      | Electronic Arts               | PlayStation | 2000 | North America
|       | Twisted Metal 2                                                                                 | SCEA                          | PlayStation | 1996 | North America
|       | Twisted Metal 4                                                                                 | 989 Studios                   | PlayStation | 1999 | North America
|       | Twisted Metal III                                                                               | 989 Studios                   | PlayStation | 1998 | North America
|       | Twisted Metal Small Brawl                                                                       | SCEA                          | PlayStation | 2001 | North America
|       | Tyco R/C: Assault with a Battery                                                                | Mattel                        | PlayStation | 2013 | North America
|       | Ultimate 8 Ball                                                                                 | THQ                           | PlayStation | 1999 | North America
|       | Ultimate Brain Games                                                                            | Telegames, Inc.               | PlayStation | 2003 | North America
|       | Ultimate Fighting Championship                                                                  | Crave                         | PlayStation | 2000 | North America
|       | Um Jammer Lammy                                                                                 | SCEA                          | PlayStation | 1999 | North America
|       | Unholy War, The                                                                                 | Eidos Interactive             | PlayStation | 1998 | North America
|       | Uprising X                                                                                      | 3DO                           | PlayStation | 1998 | North America
|       | Urban Chaos                                                                                     | Eidos Interactive             | PlayStation | 2000 | North America
|       | V-Tennis                                                                                        | Acclaim                       | PlayStation | 1996 | North America
|       | Vagrant Story                                                                                   | Square EA                     | PlayStation | 2000 | North America
|       | Valkyrie Profile                                                                                | Enix Corporation              | PlayStation | 2000 | North America
|       | Vampire Hunter D                                                                                | Jaleco Entertainment          | PlayStation | 2000 | North America
|       | Vanark                                                                                          | Jaleco Entertainment          | PlayStation | 2000 | North America
|       | Vandal Hearts                                                                                   | Konami                        | PlayStation | 1997 | North America
|       | Vandal Hearts II                                                                                | Konami                        | PlayStation | 1999 | North America
|       | Vanguard Bandits                                                                                | Working Designs               | PlayStation | 2000 | North America
|       | Vanishing Point                                                                                 | Acclaim                       | PlayStation | 2001 | North America
|       | Vegas Games 2000                                                                                | 3DO                           | PlayStation | 1999 | North America
|       | Viewpoint                                                                                       | Electronic Arts               | PlayStation | 1995 | North America
|       | Vigilante 8                                                                                     | Activision                    | PlayStation | 1998 | North America
|       | Vigilante 8: 2nd Offense                                                                        | Activision                    | PlayStation | 1999 | North America
|       | VIP Starring Pamela Anderson as Vallery Irons                                                   | Ubisoft                       | PlayStation | 2001 | North America
|       | Virtual Kasparov                                                                                | Titus Software                | PlayStation | 2001 | North America
|       | Virtual Pool                                                                                    | Interplay                     | PlayStation | 1997 | North America
|       | Virtual Pool 3                                                                                  | XS Games                      | PlayStation | 2003 | North America
|       | Viva Soccer                                                                                     | Virgin Interactive            | PlayStation | 1999 | North America
|       | Viva Soccer                                                                                     | Virgin Interactive            | PlayStation | 1999 | North America
|       | VMX Racing                                                                                      | Playmates                     | PlayStation | 1997 | North America
|       | VR Baseball '97                                                                                 | Interplay                     | PlayStation | 1997 | North America
|       | VR Baseball 99                                                                                  | Interplay                     | PlayStation | 1998 | North America
|       | VR Golf '97                                                                                     | VR Sports                     | PlayStation | 1996 | North America
|       | VR Soccer '96                                                                                   | Interplay                     | PlayStation | 1996 | North America
|       | VR Sports Powerboat Racing                                                                      | Interplay                     | PlayStation | 1998 | North America
|       | Vs.                                                                                             | THQ                           | PlayStation | 1997 | North America
|       | Walt Disney World Quest: Magical Racing Tour                                                    | Eidos Interactive             | PlayStation | 2000 | North America
|       | Walt Disney's The Jungle Book: Rhythm N'Groove                                                  | Ubisoft                       | PlayStation | 2000 | North America
|       | War Gods                                                                                        | Midway                        | PlayStation | 1997 | North America
|       | Warcraft II: The Dark Saga                                                                      | Electronic Arts               | PlayStation | 1997 | North America
|       | WarGames: DefCon 1                                                                              | MGM Interactive               | PlayStation | 1998 | North America
|       | Warhammer: Dark Omen                                                                            | Electronic Arts               | PlayStation | 1998 | North America
|       | Warhammer: Shadow of the Horned Rat                                                             | SSI                           | PlayStation | 1996 | North America
|       | Warhawk                                                                                         | SCEA                          | PlayStation | 1995 | North America
|       | WarJetz                                                                                         | 3DO                           | PlayStation | 2001 | North America
|       | WarPath: Jurassic Park                                                                          | Electronic Arts               | PlayStation | 1999 | North America
|       | Warriors of Might and Magic                                                                     | 3DO                           | PlayStation | 2001 | North America
|       | Warzone 2100                                                                                    | Eidos Interactive             | PlayStation | 1999 | North America
|       | Wayne Gretzky's 3D Hockey '98                                                                   | Midway                        | PlayStation | 1997 | North America
|       | WCW Backstage Assault                                                                           | Electronic Arts               | PlayStation | 2013 | North America
|       | WCW Mayhem                                                                                      | EA Sports                     | PlayStation | 1999 | North America
|       | WCW Nitro                                                                                       | THQ                           | PlayStation | 1997 | North America
|       | WCW vs The World                                                                                | THQ                           | PlayStation | 1997 | North America
|       | WCW/nWo Thunder                                                                                 | THQ                           | PlayStation | 1998 | North America
|       | Weakest Link, The                                                                               | Activision                    | PlayStation | 2001 | North America
|       | Wheel of Fortune                                                                                | Hasbro Interactive            | PlayStation | 1998 | North America
|       | Wheel of Fortune: 2nd Edition                                                                   | Hasbro Interactive            | PlayStation | 2000 | North America
|       | Who Wants to Be a Millionaire 2nd Edition                                                       | SCEA                          | PlayStation | 2000 | North America
|       | Who Wants to Be a Millionaire 3rd Edition                                                       | SCEA                          | PlayStation | 2001 | North America
|       | Wild 9                                                                                          | Interplay                     | PlayStation | 1998 | North America
|       | Wild Arms                                                                                       | SCEA                          | PlayStation | 1997 | North America
|       | Wild ARMs 2                                                                                     | SCEA                          | PlayStation | 2000 | North America
|       | Wild Thornberrys: Animal Adventures, The                                                        | Mattel                        | PlayStation | 2000 | North America
|       | Williams Arcade's Greatest Hits                                                                 | Williams                      | PlayStation | 1996 | North America
|       | Wing Commander III: Heart of the Tiger                                                          | Origin                        | PlayStation | 1996 | North America
|       | Wing Commander IV: The Price of Freedom                                                         | Electronic Arts               | PlayStation | 1997 | North America
|       | Wipeout                                                                                         | Psygnosis                     | PlayStation | 1995 | North America
|       | Wipeout 3                                                                                       | Psygnosis                     | PlayStation | 1999 | North America
|       | Wipeout XL                                                                                      | SCEA                          | PlayStation | 1996 | North America
|       | Woody Woodpecker Racing                                                                         | Konami                        | PlayStation | 2013 | North America
|       | World Cup 98                                                                                    | EA Sports                     | PlayStation | 1998 | North America
|       | World Cup Golf: Professional Edition                                                            | U.S. Gold                     | PlayStation | 1996 | North America
|       | World Destruction League: Thunder Tanks                                                         | 3DO                           | PlayStation | 2000 | North America
|       | World's Scariest Police Chases                                                                  | Activision                    | PlayStation | 2001 | North America
|       | Worms                                                                                           | Ocean                         | PlayStation | 1995 | North America
|       | Worms Armageddon                                                                                | Hasbro Interactive            | PlayStation | 1999 | North America
|       | Worms World Party                                                                               | Ubisoft                       | PlayStation | 2001 | North America
|       | Wreckin Crew                                                                                    | Telstar                       | PlayStation | 1998 | North America
|       | Wu-Tang: Shaolin Style                                                                          | Activision                    | PlayStation | 1999 | North America
|       | WWF Attitude                                                                                    | Acclaim                       | PlayStation | 1999 | North America
|       | WWF In Your House                                                                               | Acclaim                       | PlayStation | 1996 | North America
|       | WWF SmackDown!                                                                                  | THQ                           | PlayStation | 2000 | North America
|       | WWF SmackDown! 2: Know Your Role                                                                | THQ                           | PlayStation | 2000 | North America
|       | WWF War Zone                                                                                    | Acclaim                       | PlayStation | 1998 | North America
|       | WWF Wrestlemania: The Arcade Game                                                               | Acclaim                       | PlayStation | 1995 | North America
|       | X-360 Surrounding Your World With Sound                                                         | SCEA                          | PlayStation | 1998 | North America
|       | X-Bladez: Inline Skater                                                                         | Crave                         | PlayStation | 2002 | North America
|       | X-COM: UFO Defense                                                                              | MicroProse                    | PlayStation | 1995 | North America
|       | X-Files, The                                                                                    | Fox Interactive               | PlayStation | 1999 | North America
|       | X-Men vs. Street Fighter                                                                        | Capcom                        | PlayStation | 1998 | North America
|       | X-Men: Children of the Atom                                                                     | Acclaim                       | PlayStation | 1998 | North America
|       | X-Men: Mutant Academy                                                                           | Activision                    | PlayStation | 2000 | North America
|       | X-Men: Mutant Academy 2                                                                         | Activision                    | PlayStation | 2001 | North America
|       | Xena: Warrior Princess                                                                          | Electronic Arts               | PlayStation | 1999 | North America
|       | Xenogears                                                                                       | Square EA                     | PlayStation | 1998 | North America
|       | Xevious 3D/G+                                                                                   | Namco                         | PlayStation | 1997 | North America
|       | XS Airboat Racing                                                                               | XS Games                      | PlayStation | 2013 | North America
|       | XS Junior League Dodgeball                                                                      | XS Games                      | PlayStation | 2003 | North America
|       | XS Junior League Football                                                                       | XS Games                      | PlayStation | 2013 | North America
|       | XS Junior League Soccer                                                                         | XS Games                      | PlayStation | 2004 | North America
|       | XS Moto                                                                                         | XS Games                      | PlayStation | 2003 | North America
|       | You Don't Know Jack                                                                             | Sierra Entertainment          | PlayStation | 1999 | North America
|       | You Don't Know Jack: Mock 2                                                                     | Sierra Entertainment          | PlayStation | 2000 | North America
|       | Yu-Gi-Oh! Forbidden Memories                                                                    | Konami                        | PlayStation | 2002 | North America
|       | Zero Divide                                                                                     | Time Warner Interactive       | PlayStation | 1995 | North America
|       | Zoboomafoo: Leapin' Lemurs!                                                                     | Encore Software, Inc.         | PlayStation | 2001 | North America
|       | Zoop                                                                                            | Viacom New Media              | PlayStation | 1995 | North America
|       | 007 Racing                                                                                             | Electronic Arts                     | PlayStation | 2000 | Europe
|       | 007: The World is Not Enough                                                                           | Electronic Arts                     | PlayStation | 2000 | Europe
|       | 007: Tomorrow Never Dies                                                                               | Electronic Arts                     | PlayStation | 1999 | Europe
|       | 2002 FIFA World Cup                                                                                    | Electronic Arts                     | PlayStation | 2002 | Europe
|       | 2Xtreme                                                                                                | SCEE                                | PlayStation | 1997 | Europe
|       | 3, 2, 1, Smurf! My First Racing Game                                                                   | Infogrames                          | PlayStation | 2001 | Europe
|       | 360: Three Sixty                                                                                       | Cryo Interactive                    | PlayStation | 1999 | Europe
|       | 3D Lemmings                                                                                            | Psygnosis                           | PlayStation | 1995 | Europe
|       | 4-4-2 Soccer                                                                                           | Virgin Interactive                  | PlayStation | 1997 | Europe
|       | 40 Winks: Conquer your Dreams                                                                          | GT Interactive                      | PlayStation | 1999 | Europe
|       | 4X4 World Trophy                                                                                       | Infogrames                          | PlayStation | 2000 | Europe
|       | 5 Star Racing                                                                                          | Phoenix Games                       | PlayStation | 2003 | Europe
|       | A Bug's Life                                                                                           | SCEE                                | PlayStation | 1999 | Europe
|       | A Bug's Life Activity Centre                                                                           | SCEE                                | PlayStation | 1999 | Europe
|       | A-IV Evolution Global                                                                                  | SCEE                                | PlayStation | 1996 | Europe
|       | A2 Racer III: Europa Tour                                                                              | Davilex                             | PlayStation | 2002 | Europe
|       | Ace Combat 2                                                                                           | SCEE                                | PlayStation | 1997 | Europe
|       | Ace Combat 3                                                                                           | Namco                               | PlayStation | 1999 | Europe
|       | Action Bass                                                                                            | Take-Two Interactive                | PlayStation | 2000 | Europe
|       | Action Man: Destruction X                                                                              | 3DO                                 | PlayStation | 2000 | Europe
|       | Action Man: Mission Extreme                                                                            | Hasbro Interactive                  | PlayStation | 2000 | Europe
|       | Actua Golf                                                                                             | Gremlin Interactive                 | PlayStation | 1996 | Europe
|       | Actua Golf 2                                                                                           | Gremlin Interactive                 | PlayStation | 1997 | Europe
|       | Actua Golf 3                                                                                           | Gremlin Interactive                 | PlayStation | 1999 | Europe
|       | Actua Ice Hockey                                                                                       | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Actua Ice Hockey 2                                                                                     | Gremlin Interactive                 | PlayStation | 1999 | Europe
|       | Actua Pool                                                                                             | Gremlin Interactive                 | PlayStation | 1999 | Europe
|       | Actua Soccer                                                                                           | Gremlin Interactive                 | PlayStation | 1996 | Europe
|       | Actua Soccer 2                                                                                         | Gremlin Interactive                 | PlayStation | 1997 | Europe
|       | Actua Soccer 3                                                                                         | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Actua Soccer: Club Edition                                                                             | Gremlin Interactive                 | PlayStation | 1997 | Europe
|       | Actua Tennis                                                                                           | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Adiboo & Paziral's Secret                                                                              | VU Games                            | PlayStation | 2003 | Europe
|       | Adibou Et L'Ombre Verte                                                                                | VU Games                            | PlayStation | 2001 | Europe
|       | Adidas Power Soccer                                                                                    | Psygnosis                           | PlayStation | 1996 | Europe
|       | Adidas Power Soccer 2                                                                                  | Psygnosis                           | PlayStation | 1997 | Europe
|       | Adidas Power Soccer 98                                                                                 | Psygnosis                           | PlayStation | 1998 | Europe
|       | Adidas Power Soccer International '97                                                                  | Psygnosis                           | PlayStation | 1997 | Europe
|       | Advanced Dungeons & Dragons: Iron & Blood: Warriors of Ravenloft                                       | Acclaim                             | PlayStation | 1996 | Europe
|       | Adventures of Alundra, The                                                                             | Psygnosis                           | PlayStation | 1998 | Europe
|       | Adventures of Monkey Hero, The                                                                         | Take-Two Interactive                | PlayStation | 1999 | Europe
|       | AFL 99                                                                                                 | EA Sports                           | PlayStation | 1999 | Europe
|       | Agent Armstrong                                                                                        | Virgin Interactive                  | PlayStation | 1997 | Europe
|       | Agile Warrior F-111X                                                                                   | Virgin Interactive                  | PlayStation | 1996 | Europe
|       | Air Combat                                                                                             | SCEE                                | PlayStation | 1995 | Europe
|       | Air Hockey                                                                                             | Midas Interactive Entertainment     | PlayStation | 2001 | Europe
|       | Air Race                                                                                               | THQ                                 | PlayStation | 1997 | Europe
|       | Aironauts                                                                                              | Red Storm Entertainment             | PlayStation | 1999 | Europe
|       | Akuji the Heartless                                                                                    | Eidos Interactive                   | PlayStation | 1999 | Europe
|       | Alex Ferguson's Player Manager 2001                                                                    | 3DO                                 | PlayStation | 2000 | Europe
|       | Alexandra Ledermann 2: Equitation Competition                                                          | Midas Interactive Entertainment     | PlayStation | 2000 | Europe
|       | Alexandra Ledermann: Equitation Passion                                                                | Midas Interactive Entertainment     | PlayStation | 2000 | Europe
|       | Alfred Chicken                                                                                         | SCEE                                | PlayStation | 2002 | Europe
|       | Alien Resurrection                                                                                     | Fox Interactive                     | PlayStation | 2000 | Europe
|       | Alien Trilogy                                                                                          | Acclaim                             | PlayStation | 1996 | Europe
|       | All Star Action                                                                                        | Phoenix Games                       | PlayStation | 2003 | Europe
|       | All Star Boxing                                                                                        | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | All Star Racing                                                                                        | Midas Interactive Entertainment     | PlayStation | 2002 | Europe
|       | All Star Racing 2                                                                                      | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | All Star Soccer                                                                                        | Eidos Interactive                   | PlayStation | 1997 | Europe
|       | All Star Tennis                                                                                        | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | All Star Tennis '99                                                                                    | Ubisoft                             | PlayStation | 1998 | Europe
|       | All Star Tennis Yannick Noah 2000                                                                      | Ubisoft                             | PlayStation | 2000 | Europe
|       | All Star Watersports                                                                                   | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Allied General                                                                                         | SSI                                 | PlayStation | 1997 | Europe
|       | Alone in the Dark: Jack is Back                                                                        | Infogrames                          | PlayStation | 1996 | Europe
|       | Alone in the Dark: The New Nightmare                                                                   | Infogrames                          | PlayStation | 2001 | Europe
|       | Alundra 2: A New Legend Begins                                                                         | Activision                          | PlayStation | 2000 | Europe
|       | Amazing Virtual Sea-Monkeys, The                                                                       | SVG Distribution                    | PlayStation | 2002 | Europe
|       | American Pool                                                                                          | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | Amerzone: The Explorer's Legacy                                                                        | Microids                            | PlayStation | 1999 | Europe
|       | Anastasia                                                                                              | Midas Interactive Entertainment     | PlayStation | 2001 | Europe
|       | Andretti Racing                                                                                        | Electronic Arts                     | PlayStation | 1996 | Europe
|       | Animal Football                                                                                        | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Animal Snap: Rescue Them 2 By 2                                                                        | Ignition Entertainment              | PlayStation | 2003 | Europe
|       | Anna Kournikova's Smash Court Tennis                                                                   | SCEE                                | PlayStation | 1999 | Europe
|       | Ape Escape                                                                                             | SCEE                                | PlayStation | 1999 | Europe
|       | Apocalypse                                                                                             | Activision                          | PlayStation | 1998 | Europe
|       | Aqua GT                                                                                                | Take-Two Interactive                | PlayStation | 2001 | Europe
|       | Aquanaut's Holiday                                                                                     | SCEE                                | PlayStation | 1996 | Europe
|       | Arcade Party Pak                                                                                       | Midway                              | PlayStation | 2001 | Europe
|       | Arcade's Greatest Hits: Midway Collection 2                                                            | GT Interactive                      | PlayStation | 1998 | Europe
|       | Archer Maclean's 3D Pool                                                                               | Ignition Entertainment              | PlayStation | 2003 | Europe
|       | Area 51                                                                                                | GT Interactive                      | PlayStation | 1997 | Europe
|       | Ark of Time                                                                                            | Project Two Interactive             | PlayStation | 1998 | Europe
|       | Armored Core                                                                                           | SCEE                                | PlayStation | 1998 | Europe
|       | Armorines: Project S.W.A.R.M.                                                                          | Acclaim                             | PlayStation | 2001 | Europe
|       | Army Men 3D                                                                                            | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Air Attack                                                                                   | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Air Attack 2                                                                                 | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Land, Sea, Air                                                                               | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Lock 'n' Load                                                                                | 3DO                                 | PlayStation | 2001 | Europe
|       | Army Men: Omega Soldier                                                                                | 3DO                                 | PlayStation | 2001 | Europe
|       | Army Men: Operation Meltdown                                                                           | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Sarge's Heroes                                                                               | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Sarge's Heroes 2                                                                             | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Team Assault                                                                                 | 3DO                                 | PlayStation | 2001 | Europe
|       | Assault                                                                                                | Telstar                             | PlayStation | 1998 | Europe
|       | Assault Rigs                                                                                           | Psygnosis                           | PlayStation | 1996 | Europe
|       | Asterix                                                                                                | Infogrames                          | PlayStation | 1999 | Europe
|       | Asterix & Obelix Take on Caesar                                                                        | Cryo Interactive                    | PlayStation | 2000 | Europe
|       | Asterix: Mega Madness                                                                                  | Infogrames                          | PlayStation | 2001 | Europe
|       | Asteroids                                                                                              | Activision                          | PlayStation | 1998 | Europe
|       | Atari Anniversary Edition Redux                                                                        | Infogrames                          | PlayStation | 2002 | Europe
|       | Atlantis: The Lost Continent                                                                           | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Atlantis: The Lost Tales                                                                               | Cryo Interactive                    | PlayStation | 1998 | Europe
|       | Attack of the Saucerman!                                                                               | SCEE                                | PlayStation | 1999 | Europe
|       | ATV Mania                                                                                              | Gotham Games                        | PlayStation | 2003 | Europe
|       | ATV Racers                                                                                             | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | ATV: Quad Power Racing                                                                                 | Acclaim                             | PlayStation | 2000 | Europe
|       | Austin Powers Pinball                                                                                  | Take-Two Interactive                | PlayStation | 2002 | Europe
|       | Auto Destruct                                                                                          | Electronic Arts                     | PlayStation | 1997 | Europe
|       | Autobahn Raser II                                                                                      | Davilex                             | PlayStation | 1998 | Europe
|       | Ayrton Senna Kart Duel                                                                                 | SunSoft                             | PlayStation | 1996 | Europe
|       | Ayrton Senna Kart Duel 2                                                                               | SunSoft                             | PlayStation | 1997 | Europe
|       | Aztec: The Curse in the Heart of the City of Gold                                                      | Cryo Interactive                    | PlayStation | 2000 | Europe
|       | Azure Dreams                                                                                           | Konami                              | PlayStation | 1998 | Europe
|       | B-Movie                                                                                                | GT Interactive                      | PlayStation | 1998 | Europe
|       | Baby Felix Tennis                                                                                      | LSP                                 | PlayStation | 2002 | Europe
|       | Baby Universe                                                                                          | SCEE                                | PlayStation | 1998 | Europe
|       | Baldies                                                                                                | Phoenix Games                       | PlayStation | 2003 | Europe
|       | BallBlazer Champions                                                                                   | CTO SpA                             | PlayStation | 1997 | Europe
|       | Ballerburg                                                                                             | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Ballistic                                                                                              | THQ                                 | PlayStation | 2000 | Europe
|       | Baphomets Fluch II - Die Spiegel der Finsternis                                                        | SCEE                                | PlayStation | 1997 | Europe
|       | Barbie Aventure Equestre                                                                               | Mattel                              | PlayStation | 1999 | Europe
|       | Barbie Aventuriere                                                                                     | Mattel                              | PlayStation | 2001 | Europe
|       | Barbie Sports Extreme                                                                                  | Mattel                              | PlayStation | 2000 | Europe
|       | Batman & Robin                                                                                         | Acclaim                             | PlayStation | 1998 | Europe
|       | Batman Forever: The Arcade Game                                                                        | Acclaim                             | PlayStation | 1996 | Europe
|       | Batman of the Future: Return of the Joker                                                              | Ubisoft                             | PlayStation | 2000 | Europe
|       | Batman: Gotham City Racer                                                                              | Ubisoft                             | PlayStation | 2001 | Europe
|       | Battle Arena Toshinden                                                                                 | SCEE                                | PlayStation | 1995 | Europe
|       | Battle Arena Toshinden 2                                                                               | SCEE                                | PlayStation | 1996 | Europe
|       | Battle Arena Toshinden 3                                                                               | SCEE                                | PlayStation | 1998 | Europe
|       | Battle Stations                                                                                        | Electronic Arts                     | PlayStation | 1997 | Europe
|       | BattleSport                                                                                            | Acclaim                             | PlayStation | 1997 | Europe
|       | BattleTanx: Global Assault                                                                             | 3DO                                 | PlayStation | 2000 | Europe
|       | Beach Volleyball                                                                                       | Infogrames                          | PlayStation | 2000 | Europe
|       | Beast Wars: Transformers                                                                               | Hasbro Interactive                  | PlayStation | 1998 | Europe
|       | BeatMania                                                                                              | Konami                              | PlayStation | 2000 | Europe
|       | Bedlam                                                                                                 | GT Interactive                      | PlayStation | 1997 | Europe
|       | Beyblade: Let it Rip!                                                                                  | Atari SA                            | PlayStation | 2003 | Europe
|       | Big Air                                                                                                | Accolade                            | PlayStation | 1999 | Europe
