|       | 007 Legends                                                                             | Activision                             | PlayStation 3 | 2012 | Europe
|       | Majin and the Forsaken Kingdom                                                          | Namco Bandai Games                     | PlayStation 3 | 2010 | Europe
|       | Major League Baseball 2K11                                                              | 2K Sports                              | PlayStation 3 | 2011 | Europe
|       | Marvel Super Hero Squad: Comic Combat                                                   | THQ                                    | PlayStation 3 | 2011 | Europe
|       | Marvel Super Hero Squad: The Infinity Gauntlet                                          | THQ                                    | PlayStation 3 | 2010 | Europe
|       | Marvel vs. Capcom 3: Fate of Two Worlds                                                 | Capcom                                 | PlayStation 3 | 2011 | Europe
|       | Marvel: Ultimate Alliance                                                               | Activision                             | PlayStation 3 | 2007 | Europe
|       | Marvel: Ultimate Alliance 2                                                             | Activision                             | PlayStation 3 | 2009 | Europe
|       | Mass Effect 2                                                                           | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | Mass Effect 3                                                                           | Electronic Arts                        | PlayStation 3 | 2012 | Europe
|       | Mass Effect Trilogy                                                                     | Electronic Arts                        | PlayStation 3 | 2012 | Europe
|       | Max Payne 3                                                                             | Rockstar Games                         | PlayStation 3 | 2012 | Europe
|       | Mayhem 3D                                                                               | Rombax Games                           | PlayStation 3 | 2012 | Europe
|       | Medal of Honor                                                                          | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | Medal of Honor Frontline                                                                | EA Games                               | PlayStation 3 | 2010 | Europe
|       | Medal of Honor: Airborne                                                                | Electronic Arts                        | PlayStation 3 | 2007 | Europe
|       | Medal of Honor: Warfighter                                                              | Electronic Arts                        | PlayStation 3 | 2012 | Europe
|       | Medieval Moves                                                                          | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Megamind: Ultimate Showdown                                                             | THQ                                    | PlayStation 3 | 2010 | Europe
|       | Men in Black: Alien Crisis                                                              | Activision                             | PlayStation 3 | 2012 | Europe
|       | Mercenaries 2: World in Flames                                                          | Electronic Arts                        | PlayStation 3 | 2008 | Europe
|       | Metal Gear Rising: Revengeance                                                          | Konami                                 | PlayStation 3 | 2013 | Europe
|       | Metal Gear Solid 4: Guns of the Patriots                                                | Konami                                 | PlayStation 3 | 2008 | Europe
|       | Metal Gear Solid HD Collection                                                          | Konami                                 | PlayStation 3 | 2012 | Europe
|       | Metal Gear Solid V: Ground Zeroes                                                       | Konami                                 | PlayStation 3 | 2014 | Europe
|       | Metal Gear Solid V: The Phantom Pain                                                    | Konami                                 | PlayStation 3 | 2015 | Europe
|       | Metal Gear Solid: The Legacy Collection                                                 | Konami                                 | PlayStation 3 | 2013 | Europe
|       | Metro: Last Light                                                                       | Deep Silver                            | PlayStation 3 | 2013 | Europe
|       | Michael Jackson The Experience                                                          | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Middle-earth: Shadow of Mordor                                                          | Warner Bros. Interactive Entertainment | PlayStation 3 | 2014 | Europe
|       | Midnight Club: Los Angeles                                                              | Rockstar Games                         | PlayStation 3 | 2008 | Europe
|       | Midway Arcade Origins                                                                   | Warner Bros. Interactive Entertainment | PlayStation 3 | 2012 | Europe
|       | Millenium European Paintball Series: Championship Paintball 2009, The                   | Activision                             | PlayStation 3 | 2009 | Europe
|       | Mindjack                                                                                | Square Enix                            | PlayStation 3 | 2011 | Europe
|       | Minecraft: PlayStation 3 Edition                                                        | SCEE                                   | PlayStation 3 | 2014 | Europe
|       | Minecraft: Story Mode - A Telltale Games Series - Season Pass Disc                      | Telltale Games                         | PlayStation 3 | 2015 | Europe
|       | Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure                | Telltale Games                         | PlayStation 3 | 2016 | Europe
|       | Mini Ninjas                                                                             | Eidos Interactive                      | PlayStation 3 | 2009 | Europe
|       | Mirror's Edge                                                                           | EA Games                               | PlayStation 3 | 2008 | Europe
|       | Mobile Suit Gundam: Target in Sight                                                     | Namco Bandai Games                     | PlayStation 3 | 2007 | Europe
|       | ModNation Racers                                                                        | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Monkey Island: Special Edition Collection                                               | LucasArts                              | PlayStation 3 | 2011 | Europe
|       | Monopoly                                                                                | Electronic Arts                        | PlayStation 3 | 2008 | Europe
|       | Monopoly Streets                                                                        | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | Monster High: New Ghoul in School                                                       | Little Orbit                           | PlayStation 3 | 2015 | Europe
|       | Monster Jam: Path of Destruction                                                        | Activision                             | PlayStation 3 | 2011 | Europe
|       | Monster Madness: Grave Danger                                                           | SouthPeak Games                        | PlayStation 3 | 2008 | Europe
|       | Monsters vs. Aliens                                                                     | Activision                             | PlayStation 3 | 2009 | Europe
|       | Mortal Kombat                                                                           | Warner Bros. Interactive Entertainment | PlayStation 3 | 2011 | Europe
|       | Mortal Kombat Komplete Edition                                                          | Warner Bros. Interactive Entertainment | PlayStation 3 | 2012 | Europe
|       | Mortal Kombat vs DC Universe                                                            | Midway                                 | PlayStation 3 | 2008 | Europe
|       | MotionSports Adrenaline                                                                 | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Motobike Racing Pack                                                                    | Milestone S.r.l                        | PlayStation 3 | 2014 | Europe
|       | MotoGP 08                                                                               | Capcom                                 | PlayStation 3 | 2008 | Europe
|       | MotoGP 09/10                                                                            | Capcom                                 | PlayStation 3 | 2010 | Europe
|       | MotoGP 10/11                                                                            | Capcom                                 | PlayStation 3 | 2011 | Europe
|       | MotoGP 13                                                                               | Milestone S.r.l                        | PlayStation 3 | 2013 | Europe
|       | MotoGP 14                                                                               | Milestone S.r.l                        | PlayStation 3 | 2014 | Europe
|       | MotoGP 15                                                                               | Milestone S.r.l                        | PlayStation 3 | 2015 | Europe
|       | Motorcycle Club                                                                         | BigBen Interactive                     | PlayStation 3 | 2015 | Europe
|       | MotorStorm                                                                              | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | MotorStorm: Apocalypse                                                                  | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | MotorStorm: Pacific Rift                                                                | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | Move Fitness                                                                            | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Move Mind Benders                                                                       | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | MUD - FIM Motocross World Championship                                                  | Milestone S.r.l                        | PlayStation 3 | 2012 | Europe
|       | Mugen Souls                                                                             | NIS America                            | PlayStation 3 | 2012 | Europe
|       | Mugen Souls Z                                                                           | NIS America                            | PlayStation 3 | 2014 | Europe
|       | Murdered: Soul Suspect                                                                  | Square Enix                            | PlayStation 3 | 2014 | Europe
|       | MX Vs ATV: Supercross                                                                   | Nordic Games Publishing                | PlayStation 3 | 2014 | Europe
|       | MX vs. ATV Alive                                                                        | THQ                                    | PlayStation 3 | 2011 | Europe
|       | MX vs. ATV Reflex                                                                       | THQ                                    | PlayStation 3 | 2010 | Europe
|       | MX vs. ATV Untamed                                                                      | THQ                                    | PlayStation 3 | 2008 | Europe
|       | MXGP: The Official Motocross Videogame                                                  | Milestone S.r.l                        | PlayStation 3 | 2014 | Europe
|       | My Body Coach 2                                                                         | BigBen Interactive                     | PlayStation 3 | 2011 | Europe
|       | My Fitness Coach Club                                                                   | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | MySims SkyHeroes                                                                        | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | nail'd                                                                                  | Deep Silver                            | PlayStation 3 | 2011 | Europe
|       | Naruto Shippuden: Ultimate Ninja Storm 2                                                | Namco Bandai Games                     | PlayStation 3 | 2010 | Europe
|       | Naruto Shippuden: Ultimate Ninja Storm 3                                                | Bandai Namco Games                     | PlayStation 3 | 2013 | Europe
|       | Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst                                     | Namco Bandai Games                     | PlayStation 3 | 2014 | Europe
|       | Naruto Shippuden: Ultimate Ninja Storm Collection                                       | Bandai Namco Games                     | PlayStation 3 | 2016 | Europe
|       | Naruto Shippuden: Ultimate Ninja Storm Generations                                      | Namco Bandai Games                     | PlayStation 3 | 2012 | Europe
|       | Naruto Shippuden: Ultimate Ninja Storm Revolution                                       | Bandai Namco Games                     | PlayStation 3 | 2014 | Europe
|       | Naruto: Ultimate Ninja Storm                                                            | Namco Bandai Games                     | PlayStation 3 | 2008 | Europe
|       | NASCAR '14                                                                              | Deep Silver                            | PlayStation 3 | 2014 | Europe
|       | NASCAR 08                                                                               | EA Sports                              | PlayStation 3 | 2007 | Europe
|       | NASCAR 09                                                                               | EA Sports                              | PlayStation 3 | 2008 | Europe
|       | Nat Geo Quiz! Wild Life                                                                 | Black Bean Games                       | PlayStation 3 | 2010 | Europe
|       | National Geographic Challenge!                                                          | Black Bean Games                       | PlayStation 3 | 2011 | Europe
|       | Natural Doctrine                                                                        | NIS America                            | PlayStation 3 | 2014 | Europe
|       | Naughty Bear                                                                            | 505 Games                              | PlayStation 3 | 2010 | Europe
|       | NBA 08                                                                                  | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | NBA 2K10                                                                                | 2K Sports                              | PlayStation 3 | 2009 | Europe
|       | NBA 2K11                                                                                | 2K Sports                              | PlayStation 3 | 2010 | Europe
|       | NBA 2K12                                                                                | 2K Sports                              | PlayStation 3 | 2011 | Europe
|       | NBA 2K13                                                                                | 2K Sports                              | PlayStation 3 | 2012 | Europe
|       | NBA 2K14                                                                                | 2K Sports                              | PlayStation 3 | 2013 | Europe
|       | NBA 2K15                                                                                | 2K Sports                              | PlayStation 3 | 2014 | Europe
|       | NBA 2K16                                                                                | 2K Sports                              | PlayStation 3 | 2015 | Europe
|       | NBA 2K17                                                                                | 2K Games                               | PlayStation 3 | 2016 | Europe
|       | NBA 2K18                                                                                | 2K Games                               | PlayStation 3 | 2017 | Europe
|       | NBA 2K7                                                                                 | 2K Sports                              | PlayStation 3 | 2007 | Europe
|       | NBA 2K8                                                                                 | 2K Sports                              | PlayStation 3 | 2007 | Europe
|       | NBA 2K9                                                                                 | 2K Sports                              | PlayStation 3 | 2008 | Europe
|       | NBA Jam                                                                                 | EA Sports                              | PlayStation 3 | 2010 | Europe
|       | NBA Live 08                                                                             | EA Sports                              | PlayStation 3 | 2007 | Europe
|       | NBA Live 09                                                                             | EA Sports                              | PlayStation 3 | 2008 | Europe
|       | NBA Live 10                                                                             | EA Sports                              | PlayStation 3 | 2009 | Europe
|       | NBA Street Homecourt                                                                    | EA Sports Big                          | PlayStation 3 | 2007 | Europe
|       | NCIS                                                                                    | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Need for Speed Carbon                                                                   | Electronic Arts                        | PlayStation 3 | 2007 | Europe
|       | Need for Speed ProStreet                                                                | EA Games                               | PlayStation 3 | 2007 | Europe
|       | Need for Speed Undercover                                                               | Electronic Arts                        | PlayStation 3 | 2008 | Europe
|       | Need for Speed: Hot Pursuit                                                             | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | Need for Speed: Most Wanted - A Criterion Game                                          | Electronic Arts                        | PlayStation 3 | 2012 | Europe
|       | Need for Speed: Rivals                                                                  | Electronic Arts                        | PlayStation 3 | 2013 | Europe
|       | Need for Speed: Rivals - Complete Edition                                               | Electronic Arts                        | PlayStation 3 | 2014 | Europe
|       | Need for Speed: Shift                                                                   | Electronic Arts                        | PlayStation 3 | 2009 | Europe
|       | Need for Speed: The Run                                                                 | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | NeverDead                                                                               | Konami                                 | PlayStation 3 | 2012 | Europe
|       | NFL Tour                                                                                | Electronic Arts                        | PlayStation 3 | 2008 | Europe
|       | NHL 08                                                                                  | Electronic Arts                        | PlayStation 3 | 2007 | Europe
|       | NHL 09                                                                                  | Electronic Arts                        | PlayStation 3 | 2008 | Europe
|       | NHL 10                                                                                  | EA Sports                              | PlayStation 3 | 2009 | Europe
|       | NHL 11                                                                                  | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | NHL 12                                                                                  | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | NHL 13                                                                                  | Electronic Arts                        | PlayStation 3 | 2012 | Europe
|       | NHL 14                                                                                  | Electronic Arts                        | PlayStation 3 | 2013 | Europe
|       | NHL 15                                                                                  | Electronic Arts                        | PlayStation 3 | 2014 | Europe
|       | NHL 2K10                                                                                | Take-Two Interactive                   | PlayStation 3 | 2009 | Europe
|       | NHL 2K7                                                                                 | Take-Two Interactive                   | PlayStation 3 | 2007 | Europe
|       | NHL 2K8                                                                                 | Take-Two Interactive                   | PlayStation 3 | 2007 | Europe
|       | NHL 2K9                                                                                 | Take-Two Interactive                   | PlayStation 3 | 2008 | Europe
|       | NHL Legacy Edition                                                                      | Electronic Arts                        | PlayStation 3 | 2015 | Europe
|       | Ni no Kuni: La minaccia della Strega Cinerea                                            | Namco Bandai Games                     | PlayStation 3 | 2013 | Europe
|       | NIER                                                                                    | Square Enix                            | PlayStation 3 | 2010 | Europe
|       | Ninja Gaiden 3                                                                          | Tecmo Koei Games                       | PlayStation 3 | 2012 | Europe
|       | Ninja Gaiden 3: Razor's Edge                                                            | Tecmo Koei Games                       | PlayStation 3 | 2013 | Europe
|       | Ninja Gaiden Sigma                                                                      | Eidos Interactive                      | PlayStation 3 | 2007 | Europe
|       | Ninja Gaiden Sigma 2                                                                    | Tecmo                                  | PlayStation 3 | 2009 | Europe
|       | No More Heroes: Heroes' Paradise                                                        | Konami                                 | PlayStation 3 | 2011 | Europe
|       | Obut Petanque                                                                           | BigBen Interactive                     | PlayStation 3 | 2011 | Europe
|       | Obut Petanque 2                                                                         | BigBen Interactive                     | PlayStation 3 | 2012 | Europe
|       | Odin Sphere Leifthrasir                                                                 | NIS America                            | PlayStation 3 | 2016 | Europe
|       | Of Orcs and Men                                                                         | Focus Home Interactive                 | PlayStation 3 | 2012 | Europe
|       | One Piece: Pirate Warriors                                                              | Namco Bandai Games                     | PlayStation 3 | 2012 | Europe
|       | One Piece: Pirate Warriors 2                                                            | Namco Bandai Games                     | PlayStation 3 | 2013 | Europe
|       | One Piece: Pirate Warriors 3                                                            | Bandai Namco Games                     | PlayStation 3 | 2015 | Europe
|       | One Piece: Unlimited World Red                                                          | Bandai Namco Games                     | PlayStation 3 | 2014 | Europe
|       | Operation Flashpoint: Dragon Rising                                                     | Codemasters                            | PlayStation 3 | 2009 | Europe
|       | Operation Flashpoint: Red River                                                         | Codemasters                            | PlayStation 3 | 2011 | Europe
|       | Orange Box, The                                                                         | EA Games                               | PlayStation 3 | 2007 | Europe
|       | Order Up!!                                                                              | Funbox Media                           | PlayStation 3 | 2011 | Europe
|       | Overlord II                                                                             | Codemasters                            | PlayStation 3 | 2009 | Europe
|       | Overlord: Raising Hell                                                                  | Codemasters                            | PlayStation 3 | 2008 | Europe
|       | Pac-Man and the Ghostly Adventures                                                      | Namco Bandai Games                     | PlayStation 3 | 2014 | Europe
|       | Pac-Man and the Ghostly Adventures 2                                                    | Bandai Namco Games                     | PlayStation 3 | 2014 | Europe
|       | PAIN                                                                                    | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | Painkiller: Hell & Damnation                                                            | Nordic Games Publishing                | PlayStation 3 | 2013 | Europe
|       | Payday 2                                                                                | 505 Games                              | PlayStation 3 | 2013 | Europe
|       | PDC World Championship Darts: Pro Tour                                                  | O-Games                                | PlayStation 3 | 2010 | Europe
|       | Penguins of Madagascar: Dr. Blowhole Returns - Again!, The                              | THQ                                    | PlayStation 3 | 2011 | Europe
|       | Persona 4 Arena                                                                         | ATLUS                                  | PlayStation 3 | 2013 | Europe
|       | Persona 4 Arena Ultimax                                                                 | Sega                                   | PlayStation 3 | 2014 | Europe
|       | Persona 5                                                                               | Deep Silver                            | PlayStation 3 | 2017 | Europe
|       | Phineas and Ferb: Across the 2nd Dimension                                              | Disney Interactive Studios             | PlayStation 3 | 2011 | Europe
|       | Pictionary: Ultimate Edition                                                            | THQ                                    | PlayStation 3 | 2011 | Europe
|       | Pirates of the Caribbean: At World's End                                                | Disney Interactive Studios             | PlayStation 3 | 2007 | Europe
|       | Planet 51                                                                               | Sega                                   | PlayStation 3 | 2009 | Europe
|       | Plants vs Zombies: Garden Warfare                                                       | Electronic Arts                        | PlayStation 3 | 2014 | Europe
|       | PlayStation All-Stars Battle Royale                                                     | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | PlayStation Move Heroes                                                                 | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Port Royale 3: Gold Edition                                                             | Kalypso                                | PlayStation 3 | 2013 | Europe
|       | Port Royale 3: Pirates and Merchants                                                    | Kalypso                                | PlayStation 3 | 2012 | Europe
|       | Portal 2                                                                                | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | Prince of Persia                                                                        | Ubisoft                                | PlayStation 3 | 2008 | Europe
|       | Prince of Persia Trilogy                                                                | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | Prince of Persia: The Forgotten Sands                                                   | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | Prison Break: The Conspiracy                                                            | Deep Silver                            | PlayStation 3 | 2010 | Europe
|       | Pro Evolution Soccer 2008                                                               | Konami                                 | PlayStation 3 | 2007 | Europe
|       | Pro Evolution Soccer 2009                                                               | Konami                                 | PlayStation 3 | 2008 | Europe
|       | Pro Evolution Soccer 2010                                                               | Konami                                 | PlayStation 3 | 2009 | Europe
|       | Pro Evolution Soccer 2011                                                               | Konami                                 | PlayStation 3 | 2010 | Europe
|       | Pro Evolution Soccer 2012                                                               | Konami                                 | PlayStation 3 | 2011 | Europe
|       | Pro Evolution Soccer 2013                                                               | Konami                                 | PlayStation 3 | 2012 | Europe
|       | Pro Evolution Soccer 2014                                                               | Konami                                 | PlayStation 3 | 2013 | Europe
|       | Pro Evolution Soccer 2015                                                               | Konami                                 | PlayStation 3 | 2014 | Europe
|       | Pro Evolution Soccer 2016                                                               | Konami                                 | PlayStation 3 | 2015 | Europe
|       | Pro Evolution Soccer 2017                                                               | Konami                                 | PlayStation 3 | 2016 | Europe
|       | Pro Evolution Soccer 2018                                                               | Konami                                 | PlayStation 3 | 2017 | Europe
|       | Professional Farmer 2017                                                                | UIG Entertainment                      | PlayStation 3 | 2016 | Europe
|       | Prototype                                                                               | Activision                             | PlayStation 3 | 2009 | Europe
|       | Prototype 2                                                                             | Activision                             | PlayStation 3 | 2012 | Europe
|       | Puppeteer                                                                               | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Pure                                                                                    | Disney Interactive Studios             | PlayStation 3 | 2008 | Europe
|       | Pure Football                                                                           | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | Putty Squad                                                                             | System 3                               | PlayStation 3 | 2013 | Europe
|       | Quantum Theory                                                                          | Tecmo                                  | PlayStation 3 | 2010 | Europe
|       | Quattro Pack: God of War III / Gran Turismo 5 / Killzone 3 / Uncharted 2: Among Thieves | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | R.U.S.E.                                                                                | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | RA.ONE: The Game                                                                        | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Race Driver: GRID                                                                       | Codemasters                            | PlayStation 3 | 2008 | Europe
|       | Racket Sports                                                                           | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | Rage                                                                                    | Bethesda Softworks                     | PlayStation 3 | 2011 | Europe
|       | Rambo: The Video Game                                                                   | Reef Entertainment                     | PlayStation 3 | 2014 | Europe
|       | Rango                                                                                   | Paramount Digital Entertainment        | PlayStation 3 | 2011 | Europe
|       | Rapala Fishing Frenzy 2009                                                              | Activision                             | PlayStation 3 | 2008 | Europe
|       | Rapala Pro Bass Fishing                                                                 | Activision                             | PlayStation 3 | 2010 | Europe
|       | Ratchet & Clank: A Crack in Time                                                        | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | Ratchet & Clank: All 4 One                                                              | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Ratchet & Clank: Nexus                                                                  | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Ratchet & Clank: QForce                                                                 | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | Ratchet & Clank: Quest for Booty                                                        | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | Ratchet & Clank: Tools of Destruction                                                   | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Ratchet & Clank: Tools of Destruction and Ratchet & Clank: A Crack in Time              | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Raven: Legacy of a Master Thief - Ancestry of Lies, The                                 | The Adventure Company                  | PlayStation 3 | 2013 | Europe
|       | Raven: Legacy of a Master Thief, The                                                    | Nordic Games Publishing                | PlayStation 3 | 2014 | Europe
|       | Rayman Legends                                                                          | Ubisoft                                | PlayStation 3 | 2013 | Europe
|       | Rayman Legends & Rayman Origins                                                         | Ubisoft                                | PlayStation 3 | 2015 | Europe
|       | Rayman Origins                                                                          | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Red Dead Redemption                                                                     | Take-Two Interactive                   | PlayStation 3 | 2010 | Europe
|       | Red Dead Redemption: Game of the Year Edition                                           | Rockstar Games                         | PlayStation 3 | 2011 | Europe
|       | Red Dead Redemption: Undead Nightmare                                                   | Rockstar Games                         | PlayStation 3 | 2010 | Europe
|       | Red Faction Collection                                                                  | Nordic Games Publishing                | PlayStation 3 | 2014 | Europe
|       | Red Faction: Armageddon                                                                 | THQ                                    | PlayStation 3 | 2011 | Europe
|       | Red Faction: Guerrilla                                                                  | THQ                                    | PlayStation 3 | 2009 | Europe
|       | Remember Me                                                                             | Capcom                                 | PlayStation 3 | 2013 | Europe
|       | Resident Evil 5                                                                         | Capcom                                 | PlayStation 3 | 2009 | Europe
|       | Resident Evil 5: Gold Edition                                                           | Capcom                                 | PlayStation 3 | 2010 | Europe
|       | Resident Evil 6                                                                         | Capcom                                 | PlayStation 3 | 2012 | Europe
|       | Resident Evil: Operation Raccoon City                                                   | Capcom                                 | PlayStation 3 | 2012 | Europe
|       | Resident Evil: Revelations                                                              | Capcom                                 | PlayStation 3 | 2013 | Europe
|       | Resident Evil: Revelations 2                                                            | Capcom                                 | PlayStation 3 | 2015 | Europe
|       | Resistance 2                                                                            | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | Resistance 3                                                                            | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Resistance: Fall of Man                                                                 | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Resistance: Fall of Man & Resistance 2                                                  | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Resistance: The Trilogy                                                                 | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | Resonance of Fate                                                                       | Sega                                   | PlayStation 3 | 2010 | Europe
|       | RIDE                                                                                    | Milestone S.r.l                        | PlayStation 3 | 2015 | Europe
|       | Ride to Hell: Retribution                                                               | Deep Silver                            | PlayStation 3 | 2013 | Europe
|       | Ridge Racer 7                                                                           | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Ridge Racer Unbounded                                                                   | Namco Bandai Games                     | PlayStation 3 | 2012 | Europe
|       | Rio                                                                                     | THQ                                    | PlayStation 3 | 2011 | Europe
|       | Rise of the Argonauts                                                                   | Codemasters                            | PlayStation 3 | 2009 | Europe
|       | Rise of the Guardians                                                                   | D3Publisher                            | PlayStation 3 | 2012 | Europe
|       | Risen 2: Dark Waters                                                                    | Deep Silver                            | PlayStation 3 | 2012 | Europe
|       | Risen 3: Titan Lords                                                                    | Deep Silver                            | PlayStation 3 | 2014 | Europe
|       | Robert Ludlum's The Bourne Conspiracy                                                   | Sierra Entertainment                   | PlayStation 3 | 2008 | Europe
|       | Rock Band                                                                               | Electronic Arts                        | PlayStation 3 | 2008 | Europe
|       | Rock Band 2                                                                             | Electronic Arts                        | PlayStation 3 | 2009 | Europe
|       | Rock Band 3                                                                             | MTV Games                              | PlayStation 3 | 2010 | Europe
|       | Rock Band Classic Rock Song Pack                                                        | MTV Games                              | PlayStation 3 | 2009 | Europe
|       | Rock Band Song Pack Volume 2                                                            | MTV Games                              | PlayStation 3 | 2009 | Europe
|       | Rock Revolution                                                                         | Konami                                 | PlayStation 3 | 2017 | Europe
|       | Rocksmith                                                                               | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Rocksmith 2014 Edition                                                                  | Ubisoft                                | PlayStation 3 | 2013 | Europe
|       | Rogue Warrior                                                                           | Bethesda Softworks                     | PlayStation 3 | 2009 | Europe
|       | Rugby 15                                                                                | BigBen Interactive                     | PlayStation 3 | 2015 | Europe
|       | Rugby Challenge 2: The Lions Tour Edition                                               | Home Entertainment Suppliers           | PlayStation 3 | 2013 | Europe
|       | Rugby Challenge 3                                                                       | Alternative Software                   | PlayStation 3 | 2016 | Europe
|       | Rugby League Live                                                                       | Home Entertainment Suppliers           | PlayStation 3 | 2010 | Europe
|       | Rugby League Live 2                                                                     | Alternative Software                   | PlayStation 3 | 2012 | Europe
|       | Rugby League Live 3                                                                     | Alternative Software                   | PlayStation 3 | 2015 | Europe
