|       | 18 Wheeler: American Pro Trucker                          | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Dance Dance Revolution 2nd Mix: Dreamcast Edtion                       | Konami                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Dance Dance Revolution Club Version Dreamcast Edition                  | Konami                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Dancing Blade Katteni Momotenshi II: Tears of Eden                     | Konami                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Dancing Blade: Katteni Momotenshi!                                     | Konami                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Daytona USA 2001                                                       | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Dead or Alive 2                                                        | Tecmo                         | Sega Dreamcast | 2000 | NTSC (JP)
|       | Death Crimson 2                                                        | Ecole                         | Sega Dreamcast | 1999 | NTSC (JP)
|       | Death Crimson OX                                                       | Ecole                         | Sega Dreamcast | 2001 | NTSC (JP)
|       | Dejiko no Maibura                                                      | Isao                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Dengen Tenshi Taisen Mahjong: Shangri-La                               | Marvelous                     | Sega Dreamcast | 1999 | NTSC (JP)
|       | Dennou Senki Virtual On: Oratorio Tangram                              | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Denpa Shounen-teki Kenshou Seikatsu: Nasubi no Heya                    | Hudson                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Densha de Go! 2                                                        | Taito Corporation             | Sega Dreamcast | 2000 | NTSC (JP)
|       | Derby Tsuku 2                                                          | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Derby Tsuku: Derby Uma o Tsukurou!                                     | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | deSpiria                                                               | ATLUS                         | Sega Dreamcast | 2000 | NTSC (JP)
|       | Di Gi Charat Fantasy                                                   | Broccoli                      | Sega Dreamcast | 2001 | NTSC (JP)
|       | Digital Keiba Shinbun My Track Man                                     | Shouei                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Dino Crisis                                                            | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Doguu Senki: Haou                                                      | Victor Interactive Software   | Sega Dreamcast | 2000 | NTSC (JP)
|       | Doki Doki Idol Star Seeker Remix                                       | G.Rev                         | Sega Dreamcast | 2002 | NTSC (JP)
|       | Dori-P Passport Trial                                                  | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Dousoukai 2: Again & Refrain                                           | NEC Interchannel              | Sega Dreamcast | 2002 | NTSC (JP)
|       | Dream Passport                                                         | Sega                          | Sega Dreamcast | 1998 | NTSC (JP)
|       | Dream Studio                                                           | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Dreamcast Promotion Disc                                               | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | DreamFlyer                                                             | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | DUX                                                                    | HUCAST                        | Sega Dreamcast | 2009 | NTSC (JP)
|       | Dynamite Deka 2                                                        | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Ecco the Dolphin: Defender of the Future                               | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Eisei Meijin III: Game Creator Yoshimura Nobuhiro no Zunou             | Konami                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | El Dorado Gate Volume 1                                                | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | El Dorado Gate Volume 2                                                | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | El Dorado Gate Volume 3                                                | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | El Dorado Gate Volume 4                                                | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | El Dorado Gate Volume 5                                                | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | El Dorado Gate Volume 6                                                | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | El Dorado Gate Volume 7                                                | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Elemental Gimmick Gear                                                 | Hudson                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Elysion                                                                | NEC Interchannel              | Sega Dreamcast | 2002 | NTSC (JP)
|       | Erde: Nezu no Izuki no Shita de                                        | Kid                           | Sega Dreamcast | 2003 | NTSC (JP)
|       | Es                                                                     | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Espion-Age-Nts                                                         | NEC Interchannel              | Sega Dreamcast | 1999 | NTSC (JP)
|       | Eternal Arcadia                                                        | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Eve Zero: The Ark of the Matter                                        | NetVillage                    | Sega Dreamcast | 2001 | NTSC (JP)
|       | Ever17: The Out of Infinity                                            | Kid                           | Sega Dreamcast | 2002 | NTSC (JP)
|       | Exodus Guilty Neos                                                     | Abel Software                 | Sega Dreamcast | 2001 | NTSC (JP)
|       | Extra Cawaii!                                                          | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | F1 World Grand Prix                                                    | Video System                  | Sega Dreamcast | 1999 | NTSC (JP)
|       | F1 World Grand Prix II                                                 | Video System                  | Sega Dreamcast | 2000 | NTSC (JP)
|       | F355 Challenge                                                         | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Fast Striker                                                           | NG:DEV.TEAM                   | Sega Dreamcast | 2010 | NTSC (JP)
|       | Fighting Vipers 2                                                      | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Fire ProWrestling D                                                    | Spike                         | Sega Dreamcast | 2001 | NTSC (JP)
|       | First Kiss * Monogatari 2                                              | Broccoli                      | Sega Dreamcast | 2002 | NTSC (JP)
|       | Fish Eyes Wild                                                         | Victor Interactive Software   | Sega Dreamcast | 2001 | NTSC (JP)
|       | For Symphony: With All One's Heart                                     | Takuyo                        | Sega Dreamcast | 2003 | NTSC (JP)
|       | Fragrance Tale                                                         | Takuyo                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Frame Gride                                                            | From Software                 | Sega Dreamcast | 1999 | NTSC (JP)
|       | Frame Gride Test Operation Disc                                        | From Software                 | Sega Dreamcast | 1999 | NTSC (JP)
|       | Fushigi no Dungeon: Furai no Shiren Gaiden - Onna Kenshi Asuka Kenzan! | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | Gaia Master Kessen!: Seikiou Densetsu                                  | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Gakkyuou Yamazaki: Yamazaki Oukoku Oofun Araso                         | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Ganbare Nippon! Olympic 2000                                           | Konami                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Garou: Mark of the Wolves                                              | SNK                           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Get Bass                                                               | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Get Bass 2                                                             | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Get!! Colonies                                                         | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Ghost Blade                                                            | HUCAST                        | Sega Dreamcast | 2015 | NTSC (JP)
|       | Giant Gram 2000: All-Japan Pro Wrestling 3                             | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Giant Gram: All Japan ProWrestling 2                                   | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Giga Wing                                                              | Capcom                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Giga Wing 2                                                            | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Godzilla Generations                                                   | Sega                          | Sega Dreamcast | 1998 | NTSC (JP)
|       | Godzilla Generations Maximum Impact                                    | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Golem no Maigo                                                         | Caramel Pot                   | Sega Dreamcast | 2000 | NTSC (JP)
|       | Golf Shiyouyo                                                          | Bottom Up                     | Sega Dreamcast | 1999 | NTSC (JP)
|       | Golf Shiyouyo 2: Aratanaru Chousen                                     | SoftMax                       | Sega Dreamcast | 2001 | NTSC (JP)
|       | Golf Shiyouyo Adventure Hen                                            | SoftMax                       | Sega Dreamcast | 2000 | NTSC (JP)
|       | Golf Shiyouyo Kouryaku Pack                                            | SoftMax                       | Sega Dreamcast | 2000 | NTSC (JP)
|       | Grandia II                                                             | Game Arts                     | Sega Dreamcast | 2000 | NTSC (JP)
|       | Grandia II Demo                                                        | Game Arts                     | Sega Dreamcast | 2000 | NTSC (JP)
|       | Grauen no Torikago Kapitel 1: Keiyaku                                  | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Grauen no Torikago Kapitel 2: Torikago                                 | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Grauen no Torikago Kapitel 3: Kansei                                   | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Grauen no Torikago Kapitel 4: Kaikou                                   | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Grauen no Torikago Kapitel 5: Shoukuzai                                | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Grauen no Torikago Kapitel 6: Senritsu                                 | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Guilty Gear X                                                          | Sammy Studios                 | Sega Dreamcast | 2000 | NTSC (JP)
|       | Gunbird 2                                                              | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Gundam Battle Online                                                   | Bandai                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Gunspike                                                               | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Guruguru Onsen 2                                                       | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Guruguru Onsen 3                                                       | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | Happy Breeding                                                         | Princess Soft                 | Sega Dreamcast | 2003 | NTSC (JP)
|       | Happy Lesson                                                           | Datam Polystar                | Sega Dreamcast | 2001 | NTSC (JP)
|       | Happy Lesson: First Lesson                                             | Datam Polystar                | Sega Dreamcast | 2000 | NTSC (JP)
|       | Harusame Youbi                                                         | NEC Interchannel              | Sega Dreamcast | 2001 | NTSC (JP)
|       | Heavy Metal: Geomatrix                                                 | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Hello Kitty no Magical Block                                           | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Hello Kitty no Onnaru Mail                                             | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Hello Kitty no Waku Waku Quiz                                          | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Hello Kitty: Lovely Fruit Park                                         | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Himitsu: Tadagaita Natsu                                               | Starfish                      | Sega Dreamcast | 2001 | NTSC (JP)
|       | Hitachi SH-4 Demo Disc                                                 | Hitachi                       | Sega Dreamcast | 1999 | NTSC (JP)
|       | House of the Dead 2, The                                               | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Hundred Swords                                                         | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Idol Janshi o Tsukucchaou                                              | Jaleco Entertainment          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Ikaruga                                                                | ESP Software                  | Sega Dreamcast | 2002 | NTSC (JP)
|       | Illbleed                                                               | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Imperial no Taka: Fighter of Zero                                      | Global A                      | Sega Dreamcast | 2000 | NTSC (JP)
|       | Incoming: Ginrui Saishuu Kessen                                        | Imagineer                     | Sega Dreamcast | 1998 | NTSC (JP)
|       | Inoue Ryoko: Last Scene                                                | Datam Polystar                | Sega Dreamcast | 2001 | NTSC (JP)
|       | Inoue Ryoko: Roommate                                                  | Datam Polystar                | Sega Dreamcast | 2001 | NTSC (JP)
|       | Interlude                                                              | NEC Interchannel              | Sega Dreamcast | 2003 | NTSC (JP)
|       | Iris                                                                   | Kid                           | Sega Dreamcast | 2003 | NTSC (JP)
|       | Izumo                                                                  | Shinbyou Planning             | Sega Dreamcast | 2004 | NTSC (JP)
|       | J.League Pro Soccer Club o Tsukurou!                                   | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | J.League Spectacle Soccer                                              | Sega                          | Sega Dreamcast | 2002 | NTSC (JP)
|       | Jet Coaster Dream                                                      | Bottom Up                     | Sega Dreamcast | 1999 | NTSC (JP)
|       | Jet Coaster Dream 2                                                    | Bimboosoft                    | Sega Dreamcast | 2000 | NTSC (JP)
|       | Jet Set Radio                                                          | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Jikkyou Powerful Pro Yakyuu Dreamcast Edition                          | Konami                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Jinsei Game for Dreamcast                                              | Takara                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Jissen Pachi-Slot Hisshouhou!@VPACHI Kingdom                           | MaxBet                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Jojo no Kimyouna Bouken: Miraihe no Isan                               | Capcom                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | JRA PAT for Dreamcast                                                  | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | July                                                                   | Fortyfive                     | Sega Dreamcast | 1998 | NTSC (JP)
|       | Kaen Seibo: The Virgin on Megiddo                                      | Hiromi                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Kaitou Apricot                                                         | Takuyo                        | Sega Dreamcast | 2003 | NTSC (JP)
|       | Kanon                                                                  | NEC Interchannel              | Sega Dreamcast | 2000 | NTSC (JP)
|       | Karous                                                                 | MileStone Inc.                | Sega Dreamcast | 2007 | NTSC (JP)
|       | Kaze no Uta                                                            | Kyarara                       | Sega Dreamcast | 2004 | NTSC (JP)
|       | Kidou Senkan Nadesico: Nadesico the Mission                            | ESP Software                  | Sega Dreamcast | 1999 | NTSC (JP)
|       | Kidou Senshi Gundam Gaiden: Colony no Ochichita Chide...               | Bandai                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Kidou Senshi Gundam: Ghiren no Yabou - Zeon no Keifu                   | Bandai                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Kidou Senshi Gundam: Giren no Yabou- Zeon no Keifu                     | Bandai                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Kidou Senshi Gundam: Renpou vs. Zeon DX                                | Bandai                        | Sega Dreamcast | 2002 | NTSC (JP)
|       | Kimi ga Nozomu Eien                                                    | Atypical Alchemists Associate | Sega Dreamcast | 2002 | NTSC (JP)
|       | King of Fighters '99 Evolution, The                                    | SNK                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | King of Fighters 2000, The                                             | Playmore                      | Sega Dreamcast | 2002 | NTSC (JP)
|       | King of Fighters 2001, The                                             | Playmore                      | Sega Dreamcast | 2002 | NTSC (JP)
|       | King of Fighters 2002, The                                             | Playmore                      | Sega Dreamcast | 2003 | NTSC (JP)
|       | King of Fighters Dream Match 1999, The                                 | SNK                           | Sega Dreamcast | 1999 | NTSC (JP)
|       | Kita e. Photo Memories                                                 | Hudson                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Kita e. White Illumination                                             | Hudson                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Kitaihei Gold                                                          | NetVillage                    | Sega Dreamcast | 1999 | NTSC (JP)
|       | Kiteretsu Shounen's Gangagan                                           | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Konohana 2: Todoke Kanai Requiem                                       | Success                       | Sega Dreamcast | 2002 | NTSC (JP)
|       | Konohana: True Report                                                  | Success                       | Sega Dreamcast | 2001 | NTSC (JP)
|       | Kuon no Kizuna: Sairinsho                                              | Fog                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | KYOTEI for Dreamcast                                                   | KYOTEI                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | L.O.L.: Lack of Love                                                   | ASCII Entertainment           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Lake Masters PRO for Dreamcast Plus!                                   | Dazz                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Langrisser Millennium                                                  | Nippon Computer System        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Le Mans 24 Hours                                                       | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Love Hina: Smile Again                                                 | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Love Hina: Totsuzen no Engeji Happening                                | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Ma-Gi: Marginal                                                        | Princess Soft                 | Sega Dreamcast | 2003 | NTSC (JP)
|       | Maboroshi Tsukiyo                                                      | Sims                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Macross M3                                                             | Shoeisha                      | Sega Dreamcast | 2001 | NTSC (JP)
|       | Magic: The Gathering                                                   | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Mahjong Taikai II Special                                              | Koei                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Majo no Ochakai                                                        | NEC Interchannel              | Sega Dreamcast | 2003 | NTSC (JP)
|       | Maken X                                                                | ATLUS                         | Sega Dreamcast | 1999 | NTSC (JP)
|       | Marie to Elie Atelier                                                  | Kool Kizz                     | Sega Dreamcast | 2001 | NTSC (JP)
|       | Marionette Company                                                     | Micro Cabin                   | Sega Dreamcast | 1999 | NTSC (JP)
|       | Marionette Company 2 Chu!                                              | Micro Cabin                   | Sega Dreamcast | 2000 | NTSC (JP)
|       | Marionette Handler                                                     | Micronet                      | Sega Dreamcast | 1999 | NTSC (JP)
|       | Marionette Handler 2                                                   | Micronet                      | Sega Dreamcast | 2000 | NTSC (JP)
|       | Mars Matrix                                                            | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Marvel vs. Capcom 2: New Age of Heroes                                 | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Marvel vs. Capcom: Clash of Super Heroes                               | Capcom                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Mei * Puru                                                             | Princess Soft                 | Sega Dreamcast | 2002 | NTSC (JP)
|       | Memories Off 2nd                                                       | Kid                           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Memories Off Complete                                                  | Kid                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Mercurius Pretty: End of the Century                                   | NEC Interchannel              | Sega Dreamcast | 2000 | NTSC (JP)
|       | Metal Wolf                                                             | Princess Soft                 | Sega Dreamcast | 2002 | NTSC (JP)
|       | Milk-DC                                                                | APC-Project                   | Sega Dreamcast | 2002 | NTSC (JP)
|       | Milky Season                                                           | Kid                           | Sega Dreamcast | 2002 | NTSC (JP)
|       | Miss Moonlight                                                         | Naxat Soft                    | Sega Dreamcast | 2001 | NTSC (JP)
|       | Missing Parts 2: The Tantei Stories                                    | Fog                           | Sega Dreamcast | 2002 | NTSC (JP)
|       | Missing Parts 3                                                        | Fog                           | Sega Dreamcast | 2003 | NTSC (JP)
|       | Missing Parts: The Tantei Stories                                      | Fog                           | Sega Dreamcast | 2002 | NTSC (JP)
|       | Mizuiro                                                                | NEC Interchannel              | Sega Dreamcast | 2002 | NTSC (JP)
|       | Moekan: Moekko Company                                                 | Princess Soft                 | Sega Dreamcast | 2003 | NTSC (JP)
|       | Moekan: Moekko Company                                                 | Princess Soft                 | Sega Dreamcast | 2003 | NTSC (JP)
|       | Moero! Justice Gakuen                                                  | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Monaco Grand Prix Racing Simulation 2                                  | Ubisoft                       | Sega Dreamcast | 1999 | NTSC (JP)
|       | Morita no Saikyou Reversi                                              | Random House                  | Sega Dreamcast | 1999 | NTSC (JP)
|       | Morita no Saikyou Shogi                                                | Random House                  | Sega Dreamcast | 1999 | NTSC (JP)
|       | Motto Pro Yakyuu Team o Tsukurou!                                      | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Mr. Driller                                                            | Namco                         | Sega Dreamcast | 2000 | NTSC (JP)
|       | Musapey's Choco Marker                                                 | Ecole                         | Sega Dreamcast | 2002 | NTSC (JP)
|       | My Merry May                                                           | Kid                           | Sega Dreamcast | 2002 | NTSC (JP)
|       | My Merry Maybe                                                         | Kid                           | Sega Dreamcast | 2003 | NTSC (JP)
|       | Nakoruru: Anohito Kara no Okurimono                                    | Kool Kizz                     | Sega Dreamcast | 2002 | NTSC (JP)
|       | Nanatsu no Hikan: Senritsu no Bishou                                   | Koei                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Napple Tale: Arsia in Daydream                                         | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Neo Golden Logres                                                      | Success                       | Sega Dreamcast | 2000 | NTSC (JP)
|       | NEO XYX                                                                | NG:DEV.TEAM                   | Sega Dreamcast | 2014 | NTSC (JP)
|       | Neppachi II@VPACHI: CR Harenchi Gauken                                 | Daikoku                       | Sega Dreamcast | 2000 | NTSC (JP)
|       | Neppachi III@VPACHI: CR do Konjou Gale 2 - CR do Konjou Gale H         | Daikoku                       | Sega Dreamcast | 2000 | NTSC (JP)
|       | Neppachi IV@VPACHI: CR Aa! Hana no Ouendan 3                           | Falcon                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Neppachi V@VPACHI: CR Monster House                                    | Daikoku                       | Sega Dreamcast | 2000 | NTSC (JP)
|       | Neppachi VI@VPACHI                                                     | Daikoku                       | Sega Dreamcast | 2001 | NTSC (JP)
|       | Neppachi: 10 Ren Chande Las Vegas Ryokou                               | Daikoku                       | Sega Dreamcast | 1999 | NTSC (JP)
|       | Net Versus Chess                                                       | Atmark                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Net Versus Hanafuda                                                    | Atmark                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Net Versus Igo                                                         | Atmark                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Net Versus Mahjong                                                     | Atmark                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Net Versus Renju Gomoku Narabe                                         | Atmark                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Net Versus Reversi                                                     | Atmark                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Net Versus Shogi                                                       | Atmark                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Netto de Para                                                          | Takuyo                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Netto de Tennis                                                        | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Netto Golf                                                             | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Never7: The End of Infinity                                            | Kid                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Nijyuei                                                                | Princess Soft                 | Sega Dreamcast | 2002 | NTSC (JP)
|       | Nippon Pro Mahjong Renmei Dankurai Nintei : Heisei Mahjong-Shou        | Micronet                      | Sega Dreamcast | 2000 | NTSC (JP)
|       | Nippon Pro Mahjong Renmei Kounin: Tetsuman Menkyo Minnaten             | Naxat Soft                    | Sega Dreamcast | 1999 | NTSC (JP)
|       | Nishikaze no Kyoushikyouku: The Rhapsody of Zephyr                     | SoftMax                       | Sega Dreamcast | 2001 | NTSC (JP)
|       | Nobunaga no Yabou: Reppuuden                                           | Koei                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Nobunaga no Yabou: Shouseiroku with Power-Up Kit                       | Koei                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | NOMURA Home Trade                                                      | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | O-to-i-re: Dreamcast Sequencer                                         | Waka Mfg                      | Sega Dreamcast | 1999 | NTSC (JP)
|       | Ogami Ichiro Funtouki: Sakura Taisen Kayou Show - Benitokage Yori      | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Omoide ni Kawaru-Kimi: Memories Off                                    | Kid                           | Sega Dreamcast | 2002 | NTSC (JP)
|       | Onsei Ninshiki Mahjong: Jarman                                         | Visit                         | Sega Dreamcast | 2000 | NTSC (JP)
|       | Orange Pocket                                                          | Pione Soft                    | Sega Dreamcast | 2004 | NTSC (JP)
|       | Ouka Houshin                                                           | ESP Software                  | Sega Dreamcast | 1999 | NTSC (JP)
|       | OutTrigger                                                             | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Pachi-Slot Teiou: Dream Slot - Heiwa SP                                | Media Entertainment           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Pachi-Slot Teiou: Dream Slot Olympia SP                                | Media Entertainment           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Pachinko no Dendou: CR Nanashi                                         | Micro Cabin                   | Sega Dreamcast | 2001 | NTSC (JP)
|       | Pandora no Yume                                                        | NEC Interchannel              | Sega Dreamcast | 2002 | NTSC (JP)
|       | Panzer Front                                                           | ASCII Entertainment           | Sega Dreamcast | 1999 | NTSC (JP)
|       | Patisserie Nanyanko                                                    | Pione Soft                    | Sega Dreamcast | 2004 | NTSC (JP)
|       | Pen Pen TriIcelon                                                      | General Entertainment         | Sega Dreamcast | 1998 | NTSC (JP)
|       | Phantasy Star Online                                                   | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Phantasy Star Online Ver. 2                                            | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Pia Carrot e Youkoso!! 2                                               | NEC Interchannel              | Sega Dreamcast | 2003 | NTSC (JP)
|       | Pia Carrot e Youkoso!! 2.5                                             | NEC Interchannel              | Sega Dreamcast | 2001 | NTSC (JP)
|       | Pia Carrot e Youkoso!! 3                                               | NEC Interchannel              | Sega Dreamcast | 2003 | NTSC (JP)
|       | Pier Solar HD                                                          | Watermelon                    | Sega Dreamcast | 2015 | NTSC (JP)
|       | Pizzicato Polka: Suisei Genya                                          | Kid                           | Sega Dreamcast | 2004 | NTSC (JP)
|       | Plus Plum                                                              | Takuyo                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Pocke-Kano: Yumi - Shuzika - Fumio                                     | Datam Polystar                | Sega Dreamcast | 2000 | NTSC (JP)
|       | Pop'n Music                                                            | Konami                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Pop'n Music 2                                                          | Konami                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Pop'n Music 3 Append Disc                                              | Konami                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Pop'n Music 4 Append Disc                                              | Konami                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Power Jet Racing 2001                                                  | CRI                           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Power Smash 2                                                          | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Power Smash SAMPLE                                                     | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Power Stone                                                            | Capcom                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Power Stone 2                                                          | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Princess Holiday: Korogaru Ringo Tei Senya Ichiya                      | Atypical Alchemists Associate | Sega Dreamcast | 2003 | NTSC (JP)
|       | Princess Maker Collection                                              | NineLives                     | Sega Dreamcast | 2001 | NTSC (JP)
|       | Prism Heart                                                            | Kid                           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Prismaticallization                                                    | Arc System Works              | Sega Dreamcast | 2000 | NTSC (JP)
|       | Pro Mahjong Kiwame D                                                   | Athena                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Pro Yakyuu Team de Asobou                                              | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Pro Yakyuu Team de Asobou Net!                                         | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Pro Yakyuu Team o Tsukurou!                                            | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
