|       | 007 Legends                                                              | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | LEGO Batman 2: DC Super Heroes                                                   | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | PAL
|       | LEGO Batman 3: Beyond Gotham                                                     | Warner Bros. Interactive Entertainment | Xbox 360 | 2014 | PAL
|       | LEGO Batman: The Videogame                                                       | Warner Bros. Interactive Entertainment | Xbox 360 | 2008 | PAL
|       | LEGO Batman: The Videogame / Pure                                                | Microsoft Game Studios                 | Xbox 360 | 2009 | PAL
|       | LEGO Dimensions                                                                  | Warner Bros. Interactive Entertainment | Xbox 360 | 2015 | PAL
|       | LEGO Harry Potter: Years 1-4                                                     | Warner Bros. Interactive Entertainment | Xbox 360 | 2010 | PAL
|       | LEGO Harry Potter: Years 5-7                                                     | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | PAL
|       | LEGO Indiana Jones 2: The Adventure Continues                                    | LucasArts                              | Xbox 360 | 2009 | PAL
|       | LEGO Indiana Jones: The Original Adventures                                      | Activision                             | Xbox 360 | 2008 | PAL
|       | LEGO Indiana Jones: The Original Adventures / DreamWorks Kung Fu Panda           | Activision                             | Xbox 360 | 2008 | PAL
|       | LEGO Jurassic World                                                              | Warner Bros. Interactive Entertainment | Xbox 360 | 2015 | PAL
|       | LEGO Marvel Super Heroes                                                         | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | PAL
|       | LEGO Marvel's Avengers                                                           | Warner Bros. Interactive Entertainment | Xbox 360 | 2016 | PAL
|       | LEGO Movie Videogame, The                                                        | Warner Bros. Interactive Entertainment | Xbox 360 | 2014 | PAL
|       | LEGO Pirates of the Caribbean: The Video Game                                    | Disney Interactive Studios             | Xbox 360 | 2011 | PAL
|       | Lego Rock Band                                                                   | Warner Bros. Interactive Entertainment | Xbox 360 | 2009 | PAL
|       | LEGO Star Wars II: The Original Trilogy                                          | LucasArts                              | Xbox 360 | 2006 | PAL
|       | LEGO Star Wars III: The Clone Wars                                               | LucasArts                              | Xbox 360 | 2011 | PAL
|       | LEGO Star Wars: The Complete Saga                                                | LucasArts                              | Xbox 360 | 2007 | PAL
|       | LEGO Star Wars: The Force Awakens                                                | Warner Bros. Interactive Entertainment | Xbox 360 | 2016 | PAL
|       | LEGO The Hobbit                                                                  | Warner Bros. Interactive Entertainment | Xbox 360 | 2014 | PAL
|       | LEGO The Lord of the Rings                                                       | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | PAL
|       | Leisure Suit Larry: Box Office Bust                                              | Funsta                                 | Xbox 360 | 2009 | PAL
|       | Let's Cheer!                                                                     | 2K Play                                | Xbox 360 | 2011 | PAL
|       | Let's Dance with Mel B                                                           | Black Bean Games                       | Xbox 360 | 2011 | PAL
|       | Lightning Returns: Final Fantasy XIII                                            | Square Enix                            | Xbox 360 | 2014 | PAL
|       | Lips                                                                             | Microsoft Game Studios                 | Xbox 360 | 2008 | PAL
|       | Lips: Deutsche Partyknaller                                                      | Microsoft Game Studios                 | Xbox 360 | 2009 | PAL
|       | Lips: I Love The 80s                                                             | Microsoft Game Studios                 | Xbox 360 | 2010 | PAL
|       | Lips: Number One Hits                                                            | Microsoft Game Studios                 | Xbox 360 | 2009 | PAL
|       | Lips: Party Classics                                                             | Microsoft Game Studios                 | Xbox 360 | 2010 | PAL
|       | Lollipop Chainsaw                                                                | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | PAL
|       | London 2012 - The Official Video Game of the Olympic Games                       | Sega                                   | Xbox 360 | 2012 | PAL
|       | Looney Tunes: Acme Arsenal                                                       | Warner Bros. Interactive Entertainment | Xbox 360 | 2007 | PAL
|       | Lord of the Rings: Conquest, The                                                 | Electronic Arts                        | Xbox 360 | 2009 | PAL
|       | Lord of the Rings: The Battle for Middle-Earth II, The                           | EA Games                               | Xbox 360 | 2006 | PAL
|       | Lord of the Rings: War in the North, The                                         | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | PAL
|       | Lost                                                                             | Ubisoft                                | Xbox 360 | 2008 | PAL
|       | Lost Odyssey                                                                     | Microsoft Game Studios                 | Xbox 360 | 2008 | PAL
|       | Lost Planet 2                                                                    | Capcom                                 | Xbox 360 | 2010 | PAL
|       | Lost Planet 3                                                                    | Capcom                                 | Xbox 360 | 2013 | PAL
|       | Lost Planet: Extreme Condition                                                   | Capcom                                 | Xbox 360 | 2007 | PAL
|       | Lost Planet: Extreme Condition Colonies Edition                                  | Capcom                                 | Xbox 360 | 2008 | PAL
|       | Madagascar 3: Europe's Most Wanted                                               | D3Publisher                            | Xbox 360 | 2012 | PAL
|       | Madagascar: Escape 2 Africa                                                      | Activision                             | Xbox 360 | 2008 | PAL
|       | Madden NFL 06                                                                    | EA Sports                              | Xbox 360 | 2005 | PAL
|       | Madden NFL 07                                                                    | EA Sports                              | Xbox 360 | 2006 | PAL
|       | Madden NFL 08                                                                    | EA Sports                              | Xbox 360 | 2007 | PAL
|       | Madden NFL 09                                                                    | Electronic Arts                        | Xbox 360 | 2008 | PAL
|       | Madden NFL 10                                                                    | Electronic Arts                        | Xbox 360 | 2009 | PAL
|       | Madden NFL 11                                                                    | EA Sports                              | Xbox 360 | 2010 | PAL
|       | Madden NFL 12                                                                    | EA Sports                              | Xbox 360 | 2011 | PAL
|       | Madden NFL 13                                                                    | EA Sports                              | Xbox 360 | 2012 | PAL
|       | Madden NFL 15                                                                    | Electronic Arts                        | Xbox 360 | 2014 | PAL
|       | Madden NFL 16                                                                    | EA Sports                              | Xbox 360 | 2015 | PAL
|       | Madden NFL 17                                                                    | EA Sports                              | Xbox 360 | 2016 | PAL
|       | Madden NFL 25                                                                    | Electronic Arts                        | Xbox 360 | 2013 | PAL
|       | Mafia II                                                                         | 2K Games                               | Xbox 360 | 2010 | PAL
|       | MagnaCarta II                                                                    | Atari SA                               | Xbox 360 | 2009 | PAL
|       | Majin and the Forsaken Kingdom                                                   | Namco Bandai Games                     | Xbox 360 | 2010 | PAL
|       | Major League Baseball 2K11                                                       | 2K Sports                              | Xbox 360 | 2011 | PAL
|       | Marvel Avengers: Battle for Earth                                                | Ubisoft                                | Xbox 360 | 2012 | PAL
|       | Marvel Super Hero Squad: Comic Combat                                            | THQ                                    | Xbox 360 | 2011 | PAL
|       | Marvel Super Hero Squad: The Infinity Gauntlet                                   | THQ                                    | Xbox 360 | 2010 | PAL
|       | Marvel vs. Capcom 3: Fate of Two Worlds                                          | Capcom                                 | Xbox 360 | 2011 | PAL
|       | Marvel: Ultimate Alliance                                                        | Activision                             | Xbox 360 | 2006 | PAL
|       | Marvel: Ultimate Alliance 2                                                      | Activision                             | Xbox 360 | 2009 | PAL
|       | Mass Effect                                                                      | Microsoft Game Studios                 | Xbox 360 | 2007 | PAL
|       | Mass Effect 2                                                                    | Electronic Arts                        | Xbox 360 | 2010 | PAL
|       | Mass Effect 3                                                                    | Electronic Arts                        | Xbox 360 | 2012 | PAL
|       | Mass Effect Trilogy                                                              | Electronic Arts                        | Xbox 360 | 2012 | PAL
|       | Max Payne 3                                                                      | Rockstar Games                         | Xbox 360 | 2012 | PAL
|       | Medal of Honor                                                                   | Electronic Arts                        | Xbox 360 | 2010 | PAL
|       | Medal of Honor: Airborne                                                         | Electronic Arts                        | Xbox 360 | 2007 | PAL
|       | Medal of Honor: Warfighter                                                       | Electronic Arts                        | Xbox 360 | 2012 | PAL
|       | Megamind: Ultimate Showdown                                                      | THQ                                    | Xbox 360 | 2010 | PAL
|       | Men in Black: Alien Crisis                                                       | Activision                             | Xbox 360 | 2012 | PAL
|       | Mercenaries 2: World in Flames                                                   | EA Games                               | Xbox 360 | 2008 | PAL
|       | Metal Gear Rising: Revengeance                                                   | Konami                                 | Xbox 360 | 2013 | PAL
|       | Metal Gear Solid HD Collection                                                   | Konami                                 | Xbox 360 | 2012 | PAL
|       | Metal Gear Solid V: Ground Zeroes                                                | Konami                                 | Xbox 360 | 2014 | PAL
|       | Metal Gear Solid V: The Phantom Pain                                             | Konami                                 | Xbox 360 | 2015 | PAL
|       | Metro 2033                                                                       | THQ                                    | Xbox 360 | 2010 | PAL
|       | Metro: Last Light                                                                | Deep Silver                            | Xbox 360 | 2013 | PAL
|       | Michael Jackson The Experience                                                   | Ubisoft                                | Xbox 360 | 2011 | PAL
|       | Michael Phelps: Push the Limit                                                   | 505 Games                              | Xbox 360 | 2011 | PAL
|       | Middle-earth: Shadow of Mordor                                                   | Warner Bros. Interactive Entertainment | Xbox 360 | 2014 | PAL
|       | Midnight Club: Los Angeles                                                       | Rockstar Games                         | Xbox 360 | 2008 | PAL
|       | Midway Arcade Origins                                                            | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | PAL
|       | Millenium European Paintball Series: Championship Paintball 2009, The            | Activision                             | Xbox 360 | 2009 | PAL
|       | Mindjack                                                                         | Square Enix                            | Xbox 360 | 2011 | PAL
|       | Minecraft: Story Mode - A Telltale Games Series - Season Pass Disc               | Telltale Games                         | Xbox 360 | 2015 | PAL
|       | Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure         | Telltale Games                         | Xbox 360 | 2016 | PAL
|       | Minecraft: Story Mode - Season Two: The Telltale Series                          | Telltale Games                         | Xbox 360 | 2017 | PAL
|       | Minecraft: Xbox 360 Edition                                                      | Microsoft Game Studios                 | Xbox 360 | 2012 | PAL
|       | Mini Ninjas                                                                      | Eidos Interactive                      | Xbox 360 | 2009 | PAL
|       | Mirror's Edge                                                                    | EA Games                               | Xbox 360 | 2008 | PAL
|       | Monkey Island: Special Edition Collection                                        | LucasArts                              | Xbox 360 | 2011 | PAL
|       | Monopoly                                                                         | Electronic Arts                        | Xbox 360 | 2008 | PAL
|       | Monopoly Streets                                                                 | Electronic Arts                        | Xbox 360 | 2010 | PAL
|       | Monster High: New Ghoul in School                                                | Little Orbit                           | Xbox 360 | 2015 | PAL
|       | Monster Jam                                                                      | Activision                             | Xbox 360 | 2008 | PAL
|       | Monster Jam: Path of Destruction                                                 | Activision                             | Xbox 360 | 2017 | PAL
|       | Monster Madness: Battle for Suburbia                                             | SouthPeak Games                        | Xbox 360 | 2007 | PAL
|       | Monsters vs. Aliens                                                              | Activision                             | Xbox 360 | 2009 | PAL
|       | MorphX                                                                           | 505 Games                              | Xbox 360 | 2010 | PAL
|       | Mortal Kombat                                                                    | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | PAL
|       | Mortal Kombat Komplete Edition                                                   | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | PAL
|       | Mortal Kombat vs DC Universe                                                     | Midway                                 | Xbox 360 | 2008 | PAL
|       | Motion Explosion!                                                                | 505 Games                              | Xbox 360 | 2011 | PAL
|       | MotionSports                                                                     | Ubisoft                                | Xbox 360 | 2010 | PAL
|       | MotionSports Adrenaline                                                          | Ubisoft                                | Xbox 360 | 2011 | PAL
|       | MotoGP '06                                                                       | THQ                                    | Xbox 360 | 2006 | PAL
|       | MotoGP '07                                                                       | THQ                                    | Xbox 360 | 2007 | PAL
|       | MotoGP 08                                                                        | Capcom                                 | Xbox 360 | 2008 | PAL
|       | MotoGP 09/10                                                                     | Capcom                                 | Xbox 360 | 2010 | PAL
|       | MotoGP 10/11                                                                     | Capcom                                 | Xbox 360 | 2011 | PAL
|       | MotoGP 13                                                                        | Milestone S.r.l                        | Xbox 360 | 2013 | PAL
|       | MotoGP 14                                                                        | Milestone S.r.l                        | Xbox 360 | 2014 | PAL
|       | MotoGP 15                                                                        | Milestone S.r.l                        | Xbox 360 | 2015 | PAL
|       | Motorcycle Club                                                                  | BigBen Interactive                     | Xbox 360 | 2015 | PAL
|       | MUD - FIM Motocross World Championship                                           | Milestone S.r.l                        | Xbox 360 | 2012 | PAL
|       | Murdered: Soul Suspect                                                           | Square Enix                            | Xbox 360 | 2014 | PAL
|       | MX Vs ATV: Supercross                                                            | Nordic Games Publishing                | Xbox 360 | 2014 | PAL
|       | MX vs. ATV Alive                                                                 | THQ                                    | Xbox 360 | 2011 | PAL
|       | MX vs. ATV Reflex                                                                | THQ                                    | Xbox 360 | 2010 | PAL
|       | MX vs. ATV Untamed                                                               | THQ                                    | Xbox 360 | 2008 | PAL
|       | MXGP: The Official Motocross Videogame                                           | Milestone S.r.l                        | Xbox 360 | 2014 | PAL
|       | My Body Coach 3                                                                  | BigBen Interactive                     | Xbox 360 | 2012 | PAL
|       | My Horse & Me 2                                                                  | Atari SA                               | Xbox 360 | 2008 | PAL
|       | My Self Defence Coach                                                            | Ubisoft                                | Xbox 360 | 2011 | PAL
|       | My Self Defence Coach                                                            | Ubisoft                                | Xbox 360 | 2011 | PAL
|       | MySims SkyHeroes                                                                 | Electronic Arts                        | Xbox 360 | 2010 | PAL
|       | N3II: Ninety-Nine Nights                                                         | Konami                                 | Xbox 360 | 2010 | PAL
|       | nail'd                                                                           | Deep Silver                            | Xbox 360 | 2011 | PAL
|       | Namco Museum: Virtual Arcade                                                     | Namco Bandai Games                     | Xbox 360 | 2009 | PAL
|       | Naruto Shippuden: Ultimate Ninja Storm 2                                         | Namco Bandai Games                     | Xbox 360 | 2010 | PAL
|       | Naruto Shippuden: Ultimate Ninja Storm 3                                         | Namco Bandai Games                     | Xbox 360 | 2013 | PAL
|       | Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst                              | Namco Bandai Games                     | Xbox 360 | 2014 | PAL
|       | Naruto Shippuden: Ultimate Ninja Storm Generations                               | Namco Bandai Games                     | Xbox 360 | 2012 | PAL
|       | Naruto Shippuden: Ultimate Ninja Storm Revolution                                | Bandai Namco Games                     | Xbox 360 | 2014 | PAL
|       | Naruto: Rise of a Ninja                                                          | Ubisoft                                | Xbox 360 | 2007 | PAL
|       | Naruto: The Broken Bond                                                          | Ubisoft                                | Xbox 360 | 2008 | PAL
|       | NASCAR 08                                                                        | EA Sports                              | Xbox 360 | 2007 | PAL
|       | NASCAR 09                                                                        | EA Sports                              | Xbox 360 | 2008 | PAL
|       | Nat Geo Quiz! Wild Life                                                          | Black Bean Games                       | Xbox 360 | 2010 | PAL
|       | National Geographic Challenge!                                                   | Black Bean Games                       | Xbox 360 | 2011 | PAL
|       | Naughty Bear                                                                     | 505 Games                              | Xbox 360 | 2010 | PAL
|       | Naval Assault: The Killing Tide                                                  | 505 Games                              | Xbox 360 | 2010 | PAL
|       | NBA 2K10                                                                         | 2K Sports                              | Xbox 360 | 2009 | PAL
|       | NBA 2K11                                                                         | 2K Sports                              | Xbox 360 | 2010 | PAL
|       | NBA 2K12                                                                         | 2K Sports                              | Xbox 360 | 2011 | PAL
|       | NBA 2K13                                                                         | 2K Sports                              | Xbox 360 | 2012 | PAL
|       | NBA 2K14                                                                         | 2K Sports                              | Xbox 360 | 2013 | PAL
|       | NBA 2K15                                                                         | 2K Sports                              | Xbox 360 | 2014 | PAL
|       | NBA 2K16                                                                         | 2K Games                               | Xbox 360 | 2015 | PAL
|       | NBA 2K17                                                                         | 2K Games                               | Xbox 360 | 2016 | PAL
|       | NBA 2K18                                                                         | 2K Games                               | Xbox 360 | 2017 | PAL
|       | NBA 2K6                                                                          | 2K Sports                              | Xbox 360 | 2006 | PAL
|       | NBA 2K7                                                                          | 2K Sports                              | Xbox 360 | 2006 | PAL
|       | NBA 2K8                                                                          | 2K Sports                              | Xbox 360 | 2007 | PAL
|       | NBA 2K9                                                                          | 2K Sports                              | Xbox 360 | 2008 | PAL
|       | NBA Baller Beats                                                                 | Majesco                                | Xbox 360 | 2017 | PAL
|       | NBA Ballers: Chosen One                                                          | Midway                                 | Xbox 360 | 2008 | PAL
|       | NBA Live 06                                                                      | EA Sports                              | Xbox 360 | 2005 | PAL
|       | NBA Live 07                                                                      | EA Sports                              | Xbox 360 | 2006 | PAL
|       | NBA Live 08                                                                      | EA Sports                              | Xbox 360 | 2007 | PAL
|       | NBA Live 09                                                                      | EA Sports                              | Xbox 360 | 2008 | PAL
|       | NBA Live 10                                                                      | EA Sports                              | Xbox 360 | 2009 | PAL
|       | NBA Street Homecourt                                                             | EA Sports Big                          | Xbox 360 | 2007 | PAL
|       | NCIS                                                                             | Ubisoft                                | Xbox 360 | 2011 | PAL
|       | Need for Speed Carbon                                                            | EA Games                               | Xbox 360 | 2006 | PAL
|       | Need for Speed Most Wanted                                                       | Electronic Arts                        | Xbox 360 | 2005 | PAL
|       | Need for Speed ProStreet                                                         | Electronic Arts                        | Xbox 360 | 2007 | PAL
|       | Need for Speed Undercover                                                        | Electronic Arts                        | Xbox 360 | 2008 | PAL
|       | Need for Speed: Hot Pursuit                                                      | Electronic Arts                        | Xbox 360 | 2010 | PAL
|       | Need for Speed: Most Wanted - A Criterion Game                                   | Electronic Arts                        | Xbox 360 | 2012 | PAL
|       | Need for Speed: Rivals                                                           | Electronic Arts                        | Xbox 360 | 2013 | PAL
|       | Need for Speed: Rivals - Complete Edition                                        | Electronic Arts                        | Xbox 360 | 2014 | PAL
|       | Need for Speed: Shift                                                            | Electronic Arts                        | Xbox 360 | 2009 | PAL
|       | Need for Speed: The Run                                                          | Electronic Arts                        | Xbox 360 | 2011 | PAL
|       | NeverDead                                                                        | Konami                                 | Xbox 360 | 2012 | PAL
|       | NFL Tour                                                                         | Electronic Arts                        | Xbox 360 | 2008 | PAL
|       | NHL 07                                                                           | EA Sports                              | Xbox 360 | 2006 | PAL
|       | NHL 08                                                                           | Electronic Arts                        | Xbox 360 | 2007 | PAL
|       | NHL 09                                                                           | Electronic Arts                        | Xbox 360 | 2008 | PAL
|       | NHL 10                                                                           | EA Sports                              | Xbox 360 | 2009 | PAL
|       | NHL 11                                                                           | Electronic Arts                        | Xbox 360 | 2010 | PAL
|       | NHL 12                                                                           | Electronic Arts                        | Xbox 360 | 2011 | PAL
|       | NHL 13                                                                           | Electronic Arts                        | Xbox 360 | 2012 | PAL
|       | NHL 14                                                                           | Electronic Arts                        | Xbox 360 | 2013 | PAL
|       | NHL 15                                                                           | Electronic Arts                        | Xbox 360 | 2014 | PAL
|       | NHL 2K10                                                                         | Take-Two Interactive                   | Xbox 360 | 2009 | PAL
|       | NHL 2K6                                                                          | 2K Sports                              | Xbox 360 | 2006 | PAL
|       | NHL 2K7                                                                          | 2K Sports                              | Xbox 360 | 2006 | PAL
|       | NHL 2K8                                                                          | Take-Two Interactive                   | Xbox 360 | 2007 | PAL
|       | NHL 2K9                                                                          | Take-Two Interactive                   | Xbox 360 | 2008 | PAL
|       | NHL Legacy Edition                                                               | Electronic Arts                        | Xbox 360 | 2015 | PAL
|       | Nickelodeon Dance                                                                | 2K Play                                | Xbox 360 | 2011 | PAL
|       | Nickelodeon Dance 2                                                              | 2K Play                                | Xbox 360 | 2012 | PAL
|       | Nickelodeon Teenage Mutant Ninja Turtles                                         | Activision                             | Xbox 360 | 2013 | PAL
|       | NIER                                                                             | Square Enix                            | Xbox 360 | 2010 | PAL
|       | Night at the Museum 2                                                            | Majesco                                | Xbox 360 | 2009 | PAL
|       | Nike+ Kinect Training                                                            | Microsoft Game Studios                 | Xbox 360 | 2012 | PAL
|       | Ninety-Nine Nights                                                               | Microsoft Game Studios                 | Xbox 360 | 2006 | PAL
|       | Ninja Blade                                                                      | From Software                          | Xbox 360 | 2009 | PAL
|       | Ninja Gaiden 3                                                                   | Tecmo Koei Games                       | Xbox 360 | 2012 | PAL
|       | Ninja Gaiden 3: Razor's Edge                                                     | Tecmo Koei Games                       | Xbox 360 | 2013 | PAL
|       | Ninja Gaiden II                                                                  | Tecmo                                  | Xbox 360 | 2008 | PAL
|       | Obut Petanque                                                                    | BigBen Interactive                     | Xbox 360 | 2012 | PAL
|       | Obut Petanque 2                                                                  | BigBen Interactive                     | Xbox 360 | 2012 | PAL
|       | Of Orcs and Men                                                                  | Focus Home Interactive                 | Xbox 360 | 2012 | PAL
|       | Omerta: City of Gangsters                                                        | Kalypso                                | Xbox 360 | 2013 | PAL
|       | Onechanbara: Bikini Samurai Squad                                                | D3Publisher                            | Xbox 360 | 2009 | PAL
|       | Open Season                                                                      | Ubisoft                                | Xbox 360 | 2006 | PAL
|       | Operation Flashpoint: Dragon Rising                                              | Codemasters                            | Xbox 360 | 2009 | PAL
|       | Operation Flashpoint: Red River                                                  | Codemasters                            | Xbox 360 | 2011 | PAL
|       | Orange Box, The                                                                  | EA Games                               | Xbox 360 | 2007 | PAL
|       | Outfit, The                                                                      | THQ                                    | Xbox 360 | 2006 | PAL
|       | Over G Fighters                                                                  | Ubisoft                                | Xbox 360 | 2006 | PAL
|       | Overlord                                                                         | Codemasters                            | Xbox 360 | 2007 | PAL
|       | Overlord II                                                                      | Codemasters                            | Xbox 360 | 2009 | PAL
|       | Pac-Man and the Ghostly Adventures                                               | Namco Bandai Games                     | Xbox 360 | 2014 | PAL
|       | Pac-Man and the Ghostly Adventures 2                                             | Bandai Namco Games                     | Xbox 360 | 2014 | PAL
|       | Painkiller: Hell & Damnation                                                     | Nordic Games Publishing                | Xbox 360 | 2013 | PAL
|       | Payday 2                                                                         | 505 Games                              | Xbox 360 | 2013 | PAL
|       | PDC World Championship Darts 2008                                                | Oxygen Interactive                     | Xbox 360 | 2008 | PAL
|       | PDC World Championship Darts: Pro Tour                                           | Oxygen Interactive                     | Xbox 360 | 2010 | PAL
|       | Peanuts Movie: Snoopy's Grand Adventure, The                                     | Activision                             | Xbox 360 | 2015 | PAL
|       | Penguins of Madagascar: Dr. Blowhole Returns - Again!, The                       | THQ                                    | Xbox 360 | 2011 | PAL
|       | Perfect Dark Zero                                                                | Microsoft Game Studios                 | Xbox 360 | 2005 | PAL
|       | Persona 4 Arena                                                                  | ATLUS                                  | Xbox 360 | 2013 | PAL
|       | Persona 4 Arena Ultimax                                                          | Sega                                   | Xbox 360 | 2014 | PAL
|       | Peter Jackson's King Kong: The Official Game of the Movie                        | Ubisoft                                | Xbox 360 | 2005 | PAL
|       | Phantasy Star Universe                                                           | Sega                                   | Xbox 360 | 2006 | PAL
|       | Pictionary: Ultimate Edition                                                     | THQ                                    | Xbox 360 | 2011 | PAL
|       | Pimp My Ride                                                                     | Activision                             | Xbox 360 | 2007 | PAL
|       | Pirates of the Caribbean: At World's End                                         | Disney Interactive Studios             | Xbox 360 | 2007 | PAL
|       | Planet 51                                                                        | Sega                                   | Xbox 360 | 2009 | PAL
|       | Plants vs Zombies: Garden Warfare                                                | Electronic Arts                        | Xbox 360 | 2014 | PAL
|       | PopCap Hits!                                                                     | Mastertronic                           | Xbox 360 | 2011 | PAL
|       | PopCap Hits! Vol 2                                                               | Mastertronic                           | Xbox 360 | 2011 | PAL
|       | Port Royale 3: Pirates and Merchants                                             | Kalypso                                | Xbox 360 | 2012 | PAL
|       | Portal 2                                                                         | Electronic Arts                        | Xbox 360 | 2011 | PAL
|       | Power Rangers Super Samurai                                                      | Namco Bandai Games                     | Xbox 360 | 2012 | PAL
|       | PowerUp Heroes                                                                   | Ubisoft                                | Xbox 360 | 2011 | PAL
|       | Prey                                                                             | 2K Games                               | Xbox 360 | 2006 | PAL
|       | Prince of Persia                                                                 | Ubisoft                                | Xbox 360 | 2008 | PAL
|       | Prince of Persia: The Forgotten Sands                                            | Ubisoft                                | Xbox 360 | 2010 | PAL
|       | Prison Break: The Conspiracy                                                     | Deep Silver                            | Xbox 360 | 2010 | PAL
|       | Pro Evolution Soccer 2008                                                        | Konami                                 | Xbox 360 | 2007 | PAL
|       | Pro Evolution Soccer 2009                                                        | Konami                                 | Xbox 360 | 2008 | PAL
|       | Pro Evolution Soccer 2010                                                        | Konami                                 | Xbox 360 | 2009 | PAL
|       | Pro Evolution Soccer 2011                                                        | Konami                                 | Xbox 360 | 2010 | PAL
|       | Pro Evolution Soccer 2012                                                        | Konami                                 | Xbox 360 | 2011 | PAL
|       | Pro Evolution Soccer 2013                                                        | Konami                                 | Xbox 360 | 2012 | PAL
|       | Pro Evolution Soccer 2014                                                        | Konami                                 | Xbox 360 | 2013 | PAL
|       | Pro Evolution Soccer 2015                                                        | Konami                                 | Xbox 360 | 2014 | PAL
|       | Pro Evolution Soccer 2016                                                        | Konami                                 | Xbox 360 | 2015 | PAL
|       | Pro Evolution Soccer 2017                                                        | Konami                                 | Xbox 360 | 2016 | PAL
|       | Pro Evolution Soccer 2018                                                        | Konami                                 | Xbox 360 | 2017 | PAL
|       | Pro Evolution Soccer 6                                                           | Konami                                 | Xbox 360 | 2006 | PAL
|       | Project Gotham Racing 3                                                          | Microsoft Game Studios                 | Xbox 360 | 2005 | PAL
|       | Project Gotham Racing 4                                                          | Microsoft Game Studios                 | Xbox 360 | 2007 | PAL
|       | Project Sylpheed                                                                 | Microsoft Game Studios                 | Xbox 360 | 2007 | PAL
|       | Prototype                                                                        | Activision                             | Xbox 360 | 2009 | PAL
|       | Prototype 2                                                                      | Activision                             | Xbox 360 | 2012 | PAL
|       | Pure                                                                             | Disney Interactive Studios             | Xbox 360 | 2008 | PAL
|       | Pure Football                                                                    | Ubisoft                                | Xbox 360 | 2010 | PAL
|       | Quake 4                                                                          | Activision                             | Xbox 360 | 2005 | PAL
|       | Quantum Theory                                                                   | Tecmo                                  | Xbox 360 | 2010 | PAL
|       | Qubed                                                                            | Atari SA                               | Xbox 360 | 2009 | PAL
|       | R.U.S.E.                                                                         | Ubisoft                                | Xbox 360 | 2010 | PAL
|       | Rabbids Invasion                                                                 | Ubisoft                                | Xbox 360 | 2014 | PAL
|       | Race Driver: GRID                                                                | Codemasters                            | Xbox 360 | 2008 | PAL
|       | Race Pro                                                                         | Atari SA                               | Xbox 360 | 2009 | PAL
|       | Rage                                                                             | Bethesda Softworks                     | Xbox 360 | 2011 | PAL
|       | Raiden Fighters Aces                                                             | Tradewest                              | Xbox 360 | 2010 | PAL
|       | Rambo: The Video Game                                                            | Reef Entertainment                     | Xbox 360 | 2014 | PAL
|       | Rango                                                                            | Paramount Digital Entertainment        | Xbox 360 | 2011 | PAL
|       | Rapala Fishing Frenzy 2009                                                       | Activision                             | Xbox 360 | 2008 | PAL
|       | Rapala for Kinect                                                                | Activision                             | Xbox 360 | 2011 | PAL
|       | Rapala Pro Bass Fishing                                                          | Activision                             | Xbox 360 | 2010 | PAL
|       | Rapala Tournament Fishing!                                                       | Activision Value                       | Xbox 360 | 2007 | PAL
|       | Raven Squad: Operation Hidden Dagger                                             | SouthPeak Games                        | Xbox 360 | 2009 | PAL
|       | Raven: Legacy of a Master Thief, The                                             | The Adventure Company                  | Xbox 360 | 2013 | PAL
|       | Raven's Cry                                                                      | TopWare Interactive                    | Xbox 360 | 2015 | PAL
|       | Raving Rabbids: Alive & Kicking                                                  | Ubisoft                                | Xbox 360 | 2011 | PAL
|       | Rayman Legends                                                                   | Ubisoft                                | Xbox 360 | 2013 | PAL
