|       | 007 Racing                                                                                      | Electronic Arts               | PlayStation | 2000 | NTSC (NA)
|       | Championship Bass                                                                                      | Electronic Arts                     | PlayStation | 2000 | PAL
|       | Championship Manager Quiz                                                                              | Eidos Interactive                   | PlayStation | 2001 | PAL
|       | Championship Motocross 2001 featuring Ricky Carmichael                                                 | THQ                                 | PlayStation | 2001 | PAL
|       | Championship Motocross Featuring Ricky Carmichael                                                      | THQ                                 | PlayStation | 1999 | PAL
|       | Championship Surfer                                                                                    | Mattel                              | PlayStation | 2001 | PAL
|       | Chaos Break                                                                                            | EON Digital Entertainment           | PlayStation | 2000 | PAL
|       | Chase the Express                                                                                      | SCEE                                | PlayStation | 2000 | PAL
|       | Check Mate                                                                                             | Midas Interactive Entertainment     | PlayStation | 2001 | PAL
|       | Checkmate II                                                                                           | Phoenix Games                       | PlayStation | 2003 | PAL
|       | Cheesy                                                                                                 | Ocean                               | PlayStation | 1996 | PAL
|       | Chessmaster 3-D, The                                                                                   | Mindscape                           | PlayStation | 1996 | PAL
|       | Chessmaster II                                                                                         | Mindscape                           | PlayStation | 1999 | PAL
|       | Chicken Run                                                                                            | Eidos Interactive                   | PlayStation | 2000 | PAL
|       | Chill                                                                                                  | Eidos Interactive                   | PlayStation | 1998 | PAL
|       | China: The Forbidden City                                                                              | Cryo Interactive                    | PlayStation | 1999 | PAL
|       | Chocobo Racing                                                                                         | SquareSoft                          | PlayStation | 1999 | PAL
|       | Chris Kamara's Street Soccer                                                                           | Midas Interactive Entertainment     | PlayStation | 2000 | PAL
|       | Chronicles of the Sword                                                                                | Psygnosis                           | PlayStation | 1996 | PAL
|       | Cindy's Caribbean Holiday                                                                              | Phoenix Games                       | PlayStation | 2003 | PAL
|       | Cindy's Fashion World                                                                                  | Phoenix Games                       | PlayStation | 2003 | PAL
|       | Circuit Breakers                                                                                       | Mindscape                           | PlayStation | 1998 | PAL
|       | City of Lost Children, The                                                                             | Psygnosis                           | PlayStation | 1997 | PAL
|       | Civilization II                                                                                        | Activision                          | PlayStation | 1999 | PAL
|       | Cleopatra Fortune                                                                                      | Midas Interactive Entertainment     | PlayStation | 2003 | PAL
|       | Clock Tower                                                                                            | ASCII Entertainment                 | PlayStation | 1998 | PAL
|       | Colin McRae Rally                                                                                      | Codemasters                         | PlayStation | 1998 | PAL
|       | Colin McRae Rally 2.0                                                                                  | Codemasters                         | PlayStation | 2000 | PAL
|       | Colin McRae Rally 2.0 / No Fear Downhill Mountain Biking                                               | Codemasters                         | PlayStation | 2002 | PAL
|       | Colony Wars                                                                                            | Psygnosis                           | PlayStation | 1997 | PAL
|       | Colony Wars: Red Sun                                                                                   | SCEE                                | PlayStation | 2000 | PAL
|       | Colony Wars: Vengeance                                                                                 | Psygnosis                           | PlayStation | 1998 | PAL
|       | Command & Conquer                                                                                      | Virgin Interactive                  | PlayStation | 1996 | PAL
|       | Command & Conquer: Red Alert                                                                           | Virgin Interactive                  | PlayStation | 1997 | PAL
|       | Command & Conquer: Red Alert - Retaliation                                                             | Virgin Interactive                  | PlayStation | 1998 | PAL
|       | Constructor                                                                                            | Acclaim                             | PlayStation | 1998 | PAL
|       | Contra: Legacy of War                                                                                  | Konami                              | PlayStation | 1997 | PAL
|       | Cool Boarders                                                                                          | SCEE                                | PlayStation | 1997 | PAL
|       | Cool Boarders 2                                                                                        | SCEE                                | PlayStation | 1998 | PAL
|       | Cool Boarders 3                                                                                        | SCEE                                | PlayStation | 1998 | PAL
|       | Cool Boarders 4                                                                                        | 989 Sports                          | PlayStation | 2000 | PAL
|       | Courier Crisis                                                                                         | BMG Interactive Entertainment       | PlayStation | 1997 | PAL
|       | Crash Bandicoot                                                                                        | SCEE                                | PlayStation | 1996 | PAL
|       | Crash Bandicoot 2: Cortex Strikes Back                                                                 | SCEE                                | PlayStation | 1997 | PAL
|       | Crash Bandicoot 3: Warped                                                                              | SCEE                                | PlayStation | 1998 | PAL
|       | Crash Bash                                                                                             | SCEE                                | PlayStation | 2000 | PAL
|       | Crash Team Racing                                                                                      | SCEE                                | PlayStation | 1999 | PAL
|       | Crazy Chicken 2                                                                                        | Phenomedia                          | PlayStation | 2000 | PAL
|       | Creatures                                                                                              | Swing! Deutschland                  | PlayStation | 2002 | PAL
|       | Creatures: Raised in Space                                                                             | Play It!                            | PlayStation | 2005 | PAL
|       | Cricket 2000                                                                                           | Electronic Arts                     | PlayStation | 2000 | PAL
|       | Crime Killer                                                                                           | Interplay                           | PlayStation | 1998 | PAL
|       | Crisis Beat                                                                                            | Virgin Interactive                  | PlayStation | 2000 | PAL
|       | Critical Depth                                                                                         | GT Interactive                      | PlayStation | 1997 | PAL
|       | Criticom                                                                                               | Vic Tokai                           | PlayStation | 1996 | PAL
|       | Croc 2                                                                                                 | Fox Interactive                     | PlayStation | 1999 | PAL
|       | Croc: Legend of the Gobbos                                                                             | Fox Interactive                     | PlayStation | 1997 | PAL
|       | Crow: City of Angels, The                                                                              | Acclaim                             | PlayStation | 1997 | PAL
|       | Crusader: No Remorse                                                                                   | Electronic Arts                     | PlayStation | 1997 | PAL
|       | Crusaders of Might and Magic                                                                           | 3DO                                 | PlayStation | 2000 | PAL
|       | Crypt Killer                                                                                           | Konami                              | PlayStation | 1997 | PAL
|       | CT Special Forces                                                                                      | LSP                                 | PlayStation | 2002 | PAL
|       | CT Special Forces 3: Bioterror                                                                         | LSP                                 | PlayStation | 2004 | PAL
|       | CT Special Forces: Back to Hell                                                                        | LSP                                 | PlayStation | 2003 | PAL
|       | Cubix: Robots For Everyone - Race 'N Robots                                                            | 3DO                                 | PlayStation | 2002 | PAL
|       | Cyber Sled                                                                                             | SCEE                                | PlayStation | 1995 | PAL
|       | Cyberia                                                                                                | Interplay                           | PlayStation | 1996 | PAL
|       | CyberSpeed                                                                                             | Mindscape                           | PlayStation | 1995 | PAL
|       | CyberTiger                                                                                             | Electronic Arts                     | PlayStation | 1999 | PAL
|       | D                                                                                                      | Acclaim                             | PlayStation | 1996 | PAL
|       | Dalmatians 2                                                                                           | Phoenix Games                       | PlayStation | 2003 | PAL
|       | Dalmatians, The                                                                                        | Midas Interactive Entertainment     | PlayStation | 2000 | PAL
|       | Dance: UK eXtra Trax                                                                                   | BigBen Interactive                  | PlayStation | 2004 | PAL
|       | Dance:UK                                                                                               | BigBen Interactive                  | PlayStation | 2003 | PAL
|       | Dancing Stage Disney Mix                                                                               | Konami                              | PlayStation | 2001 | PAL
|       | Dancing Stage Euromix                                                                                  | Konami                              | PlayStation | 2001 | PAL
|       | Dancing Stage Fever                                                                                    | Konami                              | PlayStation | 2003 | PAL
|       | Dancing Stage Fusion                                                                                   | Konami                              | PlayStation | 2004 | PAL
|       | Dancing Stage Party Edition                                                                            | Konami                              | PlayStation | 2002 | PAL
|       | Danger Girl                                                                                            | THQ                                 | PlayStation | 2000 | PAL
|       | Darklight Conflict                                                                                     | Electronic Arts                     | PlayStation | 1997 | PAL
|       | Darkstalkers 3                                                                                         | Virgin Interactive                  | PlayStation | 1998 | PAL
|       | Darkstalkers: The Night Warriors                                                                       | Virgin Interactive                  | PlayStation | 1996 | PAL
|       | Darkstone: Evil Reigns                                                                                 | Electronic Arts                     | PlayStation | 2001 | PAL
|       | Dave Mirra Freestyle BMX                                                                               | Acclaim                             | PlayStation | 2000 | PAL
|       | Dave Mirra Freestyle BMX: Maximum Remix                                                                | Acclaim                             | PlayStation | 2001 | PAL
|       | David Beckham Soccer                                                                                   | Rage Software                       | PlayStation | 2001 | PAL
|       | Davis Cup Complete Tennis                                                                              | Telstar                             | PlayStation | 1996 | PAL
|       | Dead Ball Zone                                                                                         | GT Interactive                      | PlayStation | 1998 | PAL
|       | Dead or Alive                                                                                          | SCEE                                | PlayStation | 1998 | PAL
|       | Deathtrap Dungeon                                                                                      | Eidos Interactive                   | PlayStation | 1998 | PAL
|       | DEFCON 5                                                                                               | Psygnosis                           | PlayStation | 1996 | PAL
|       | Delta Force: Urban Warfare                                                                             | NovaLogic                           | PlayStation | 2002 | PAL
|       | Demo One                                                                                               | SCEE                                | PlayStation | 1997 | PAL
|       | Demolition Racer                                                                                       | Infogrames                          | PlayStation | 1999 | PAL
|       | Descent                                                                                                | Interplay                           | PlayStation | 1996 | PAL
|       | Descent 2                                                                                              | Interplay                           | PlayStation | 1997 | PAL
|       | Destrega                                                                                               | SCEE                                | PlayStation | 1999 | PAL
|       | Destruction Derby                                                                                      | Psygnosis                           | PlayStation | 1995 | PAL
|       | Destruction Derby 2                                                                                    | Psygnosis                           | PlayStation | 1997 | PAL
|       | Destruction Derby Raw                                                                                  | SCEE                                | PlayStation | 2000 | PAL
|       | Destructo 2                                                                                            | Phoenix Games                       | PlayStation | 2003 | PAL
|       | Detective Barbie: The Mystery Cruise                                                                   | Mattel                              | PlayStation | 2000 | PAL
|       | Detective Mouse                                                                                        | Phoenix Games                       | PlayStation | 2003 | PAL
|       | Devil Dice                                                                                             | SCEE                                | PlayStation | 1998 | PAL
|       | Devil's Deception                                                                                      | SunSoft                             | PlayStation | 1997 | PAL
|       | Dexter's Laboratory: Mandark's Lab?                                                                    | Bam Entertainment                   | PlayStation | 2002 | PAL
|       | Diablo                                                                                                 | Electronic Arts                     | PlayStation | 1998 | PAL
|       | Die Hard Trilogy                                                                                       | Fox Interactive                     | PlayStation | 1996 | PAL
|       | Die Hard Trilogy 2: Viva Las Vegas                                                                     | Fox Interactive                     | PlayStation | 2000 | PAL
|       | Digimon Digital Card Battle                                                                            | Bandai                              | PlayStation | 2002 | PAL
|       | Digimon Rumble Arena                                                                                   | Bandai                              | PlayStation | 2002 | PAL
|       | Digimon World                                                                                          | Infogrames                          | PlayStation | 2001 | PAL
|       | Digimon World 2003                                                                                     | Bandai                              | PlayStation | 2002 | PAL
|       | Dino Crisis                                                                                            | Capcom                              | PlayStation | 1999 | PAL
|       | Dino Crisis 2                                                                                          | Virgin Interactive                  | PlayStation | 2000 | PAL
|       | Dinomaster Party                                                                                       | LSP                                 | PlayStation | 2000 | PAL
|       | Dinosaurs                                                                                              | Phoenix Games                       | PlayStation | 2003 | PAL
|       | Discworld                                                                                              | Psygnosis                           | PlayStation | 1995 | PAL
|       | Discworld II: Missing presumed...!?                                                                    | Psygnosis                           | PlayStation | 1997 | PAL
|       | Discworld Noir                                                                                         | GT Interactive                      | PlayStation | 2000 | PAL
|       | Disney's 102 Dalmatians: Puppies to the Rescue                                                         | Eidos Interactive                   | PlayStation | 2000 | PAL
|       | Disney's Action Game featuring Hercules                                                                | SCEE                                | PlayStation | 1998 | PAL
|       | Disney's Aladdin in Nasira's Revenge                                                                   | SCEE                                | PlayStation | 2000 | PAL
|       | Disney's Atlantis: The Lost Empire                                                                     | SCEE                                | PlayStation | 2001 | PAL
|       | Disney's Dinosaur                                                                                      | Ubisoft                             | PlayStation | 2000 | PAL
|       | Disney's Donald Duck Quack Attack / Disney's Tigger's Honey Hunt                                       | Ubisoft                             | PlayStation | 2002 | PAL
|       | Disney's Goofy's Fun House                                                                             | Mattel                              | PlayStation | 2001 | PAL
|       | Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life                              | SCEE                                | PlayStation | 2003 | PAL
|       | Disney's Learning with Mickey                                                                          | Disney Interactive Studios          | PlayStation | 2002 | PAL
|       | Disney's Lilo & Stitch: Trouble In Paradise                                                            | SCEE                                | PlayStation | 2002 | PAL
|       | Disney's Peter Pan: Adventures In Never Land                                                           | SCEE                                | PlayStation | 2002 | PAL
|       | Disney's Story Studio: Mulan                                                                           | SCEE                                | PlayStation | 2000 | PAL
|       | Disney's Tarzan                                                                                        | SCEE                                | PlayStation | 1999 | PAL
|       | Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game | SCEE                                | PlayStation | 2003 | PAL
|       | Disney's Tarzan / Disney's Mulan / Mickey's Wild Adventure                                             | SCEE                                | PlayStation | 2003 | PAL
|       | Disney's The Emperor's New Groove                                                                      | SCEE                                | PlayStation | 2001 | PAL
|       | Disney's The Lion King: Simba's Mighty Adventure                                                       | Activision                          | PlayStation | 2001 | PAL
|       | Disney's The Little Mermaid II                                                                         | SCEE                                | PlayStation | 2001 | PAL
|       | Disney's Treasure Planet                                                                               | SCEE                                | PlayStation | 2003 | PAL
|       | Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!                                                | Activision                          | PlayStation | 1999 | PAL
|       | Disney/Pixar's Toy Story Racer                                                                         | Activision                          | PlayStation | 2001 | PAL
|       | Disruptor                                                                                              | Interplay                           | PlayStation | 1996 | PAL
|       | Diver's Dream                                                                                          | Konami                              | PlayStation | 1998 | PAL
|       | Dodgem Arena                                                                                           | Project Two Interactive             | PlayStation | 1998 | PAL
|       | Donald Duck: Quack Attack                                                                              | Ubisoft                             | PlayStation | 2000 | PAL
|       | Doom                                                                                                   | GT Interactive                      | PlayStation | 1995 | PAL
|       | Dracula 2: The Last Sanctuary                                                                          | Cryo Interactive                    | PlayStation | 2002 | PAL
|       | Dracula: The Resurrection                                                                              | Microids                            | PlayStation | 2000 | PAL
|       | Dragon Ball Final Bout                                                                                 | Bandai                              | PlayStation | 1997 | PAL
|       | Dragon Ball Z: Ultimate Battle 22                                                                      | Bandai                              | PlayStation | 1996 | PAL
|       | Dragon Tales: Dragon Seek                                                                              | Mattel                              | PlayStation | 2001 | PAL
|       | Dragon Valor                                                                                           | SCEE                                | PlayStation | 2000 | PAL
|       | DragonHeart: Fire & Steel                                                                              | Acclaim                             | PlayStation | 1997 | PAL
|       | Dragstars                                                                                              | Midas Interactive Entertainment     | PlayStation | 2002 | PAL
|       | Dreams                                                                                                 | Cryo Interactive                    | PlayStation | 1999 | PAL
|       | Driver                                                                                                 | GT Interactive                      | PlayStation | 1999 | PAL
|       | Driver / Driver 2                                                                                      | Atari SA                            | PlayStation | 2004 | PAL
|       | Driver 2                                                                                               | Infogrames                          | PlayStation | 2000 | PAL
|       | DSF Fussball Manager 2002                                                                              | Ubisoft                             | PlayStation | 2002 | PAL
|       | Ducati World                                                                                           | Acclaim                             | PlayStation | 2001 | PAL
|       | Duke Nukem                                                                                             | GT Interactive                      | PlayStation | 1997 | PAL
|       | Duke Nukem: Land of the Babes                                                                          | Take-Two Interactive                | PlayStation | 2001 | PAL
|       | Duke Nukem: Time to Kill                                                                               | Take-Two Interactive                | PlayStation | 1999 | PAL
|       | Dukes of Hazzard II: Daisy Dukes It Out, The                                                           | SouthPeak Games                     | PlayStation | 2002 | PAL
|       | Dukes of Hazzard: Racing for Home, The                                                                 | Ubisoft                             | PlayStation | 2000 | PAL
|       | Dune                                                                                                   | Electronic Arts                     | PlayStation | 1999 | PAL
|       | Dynasty Warriors                                                                                       | Koei                                | PlayStation | 1997 | PAL
|       | E.T. The Extra-Terrestrial: The 20th Anniversary                                                       | Ubisoft                             | PlayStation | 2002 | PAL
|       | Eagle One: Harrier Attack                                                                              | Infogrames                          | PlayStation | 2000 | PAL
|       | Earthworm Jim 2                                                                                        | Virgin Interactive                  | PlayStation | 1996 | PAL
|       | ECW Anarchy Rulz                                                                                       | Acclaim                             | PlayStation | 2000 | PAL
|       | ECW Hardcore Revolution                                                                                | Acclaim                             | PlayStation | 2000 | PAL
|       | Egypt 1156 B.C.: Tomb of the Pharaoh                                                                   | Canal+ Multimedia                   | PlayStation | 2000 | PAL
|       | Egypt II: The Heliopolis Prophecy                                                                      | Cryo Interactive                    | PlayStation | 2001 | PAL
|       | Ehrgeiz                                                                                                | SquareSoft                          | PlayStation | 2000 | PAL
|       | Elemental Pinball                                                                                      | Midas Interactive Entertainment     | PlayStation | 2003 | PAL
|       | Eliminator                                                                                             | Psygnosis                           | PlayStation | 1999 | PAL
|       | Epidemic                                                                                               | SCEE                                | PlayStation | 1997 | PAL
|       | ESPN Extreme Games                                                                                     | SCEE                                | PlayStation | 1995 | PAL
|       | Essential Playstation 10                                                                               | Future Publishing                   | PlayStation | 1998 | PAL
|       | Essential PlayStation 12                                                                               | Future Publishing                   | PlayStation | 1999 | PAL
|       | Essential PlayStation IV                                                                               | Future Publishing                   | PlayStation | 1997 | PAL
|       | Essential PlayStation IX                                                                               | Future Publishing                   | PlayStation | 1998 | PAL
|       | Essential PlayStation One                                                                              | Future Publishing                   | PlayStation | 1996 | PAL
|       | Essential PlayStation Part 7                                                                           | SCEE                                | PlayStation | 1997 | PAL
|       | Essential PlayStation Three                                                                            | Future Publishing                   | PlayStation | 1996 | PAL
|       | Essential PlayStation Two                                                                              | Future Publishing                   | PlayStation | 1996 | PAL
|       | Essential PlayStation V                                                                                | Future Publishing                   | PlayStation | 1997 | PAL
|       | Essential PlayStation VI                                                                               | Future Publishing                   | PlayStation | 1997 | PAL
|       | Essential PlayStation VIII                                                                             | Future Publishing                   | PlayStation | 1998 | PAL
|       | Essential PlayStation XI                                                                               | Future Publishing                   | PlayStation | 1998 | PAL
|       | Eternal Eyes                                                                                           | SunSoft                             | PlayStation | 2000 | PAL
|       | Europe Racer                                                                                           | Davilex                             | PlayStation | 2001 | PAL
|       | European Super League                                                                                  | Virgin Interactive                  | PlayStation | 2001 | PAL
|       | Everybody's Golf                                                                                       | SCEE                                | PlayStation | 1998 | PAL
|       | Everybody's Golf 2                                                                                     | SCEE                                | PlayStation | 2000 | PAL
|       | Evil Dead: Hail to the King                                                                            | THQ                                 | PlayStation | 2001 | PAL
|       | Evil Zone                                                                                              | Titus Software                      | PlayStation | 1999 | PAL
|       | Evo's Space Adventures                                                                                 | Take-Two Interactive                | PlayStation | 2000 | PAL
|       | Excalibur 2555 A.D.                                                                                    | Telstar                             | PlayStation | 1997 | PAL
|       | Exhumed                                                                                                | BMG Interactive Entertainment       | PlayStation | 1996 | PAL
|       | Explosive Racing                                                                                       | Funsoft                             | PlayStation | 1997 | PAL
|       | Extreme 500                                                                                            | THQ                                 | PlayStation | 2000 | PAL
|       | Extreme Ghostbusters: The Ultimate Invasion                                                            | LSP                                 | PlayStation | 2004 | PAL
|       | Extreme Pinball                                                                                        | Electronic Arts                     | PlayStation | 1996 | PAL
|       | Extreme Snow Break                                                                                     | Microids                            | PlayStation | 1998 | PAL
|       | F.A. Premier League Football Manager 2000, The                                                         | Electronic Arts                     | PlayStation | 1999 | PAL
|       | F1 2000                                                                                                | Electronic Arts                     | PlayStation | 2000 | PAL
|       | F1 Championship Season 2000                                                                            | Electronic Arts                     | PlayStation | 2000 | PAL
|       | F1 Racing Championship                                                                                 | Video System                        | PlayStation | 2000 | PAL
|       | F1 World Grand Prix                                                                                    | Eidos Interactive                   | PlayStation | 2001 | PAL
|       | F1 World Grand Prix: Season 1999                                                                       | Video System                        | PlayStation | 1999 | PAL
|       | FA Manager                                                                                             | Eidos Interactive                   | PlayStation | 1999 | PAL
|       | Fade to Black                                                                                          | Electronic Arts                     | PlayStation | 1996 | PAL
|       | Family Games Compendium                                                                                | Midas Interactive Entertainment     | PlayStation | 2001 | PAL
|       | Fantastic Four                                                                                         | Acclaim                             | PlayStation | 1997 | PAL
|       | Fear Effect                                                                                            | Eidos Interactive                   | PlayStation | 2000 | PAL
|       | Fear Effect 2: Retro Helix                                                                             | Eidos Interactive                   | PlayStation | 2001 | PAL
|       | Felony 11-79                                                                                           | ASCII Entertainment                 | PlayStation | 1997 | PAL
|       | FIFA 2000                                                                                              | Electronic Arts                     | PlayStation | 1999 | PAL
|       | FIFA 2001                                                                                              | Electronic Arts                     | PlayStation | 2000 | PAL
|       | FIFA 97                                                                                                | Electronic Arts                     | PlayStation | 1996 | PAL
|       | FIFA 99                                                                                                | Electronic Arts                     | PlayStation | 1998 | PAL
|       | FIFA Football 2002                                                                                     | Electronic Arts                     | PlayStation | 2001 | PAL
|       | FIFA Football 2003                                                                                     | Electronic Arts                     | PlayStation | 2002 | PAL
|       | FIFA Football 2004                                                                                     | Electronic Arts                     | PlayStation | 2003 | PAL
|       | FIFA Football 2005                                                                                     | Electronic Arts                     | PlayStation | 2004 | PAL
|       | FIFA Soccer 96                                                                                         | Electronic Arts                     | PlayStation | 1996 | PAL
|       | FIFA: Die WM-Qualifikation                                                                             | EA Sports                           | PlayStation | 1997 | PAL
|       | Fifth Element, The                                                                                     | SCEE                                | PlayStation | 1998 | PAL
|       | Fighter Maker                                                                                          | Agetec                              | PlayStation | 1999 | PAL
|       | Fighting Force                                                                                         | Eidos Interactive                   | PlayStation | 1997 | PAL
|       | Fighting Force 2                                                                                       | Eidos Interactive                   | PlayStation | 1999 | PAL
|       | Final Doom                                                                                             | GT Interactive                      | PlayStation | 1996 | PAL
|       | Final Fantasy Anthology: European Edition                                                              | Electronic Arts                     | PlayStation | 2002 | PAL
|       | Final Fantasy IX                                                                                       | SquareSoft                          | PlayStation | 2001 | PAL
|       | Final Fantasy Origins                                                                                  | Infogrames                          | PlayStation | 2003 | PAL
|       | Final Fantasy VI                                                                                       | SCEE                                | PlayStation | 2002 | PAL
|       | Final Fantasy VII                                                                                      | SCEE                                | PlayStation | 1997 | PAL
|       | Final Fantasy VIII                                                                                     | SquareSoft                          | PlayStation | 1999 | PAL
|       | Firebugs                                                                                               | SCEE                                | PlayStation | 2002 | PAL
|       | Firo & Klawd                                                                                           | BMG Interactive Entertainment       | PlayStation | 1996 | PAL
|       | Fisherman's Bait 2: Big Ol' Bass                                                                       | Konami                              | PlayStation | 2000 | PAL
|       | Fisherman's Bait 3                                                                                     | Konami                              | PlayStation | 2001 | PAL
|       | Fisherman's Bait: Bass Challenge                                                                       | Konami                              | PlayStation | 1999 | PAL
|       | Flintstones: Bedrock Bowling, The                                                                      | Ubisoft                             | PlayStation | 2000 | PAL
|       | Floating Runner: Quest for the 7 Crystals                                                              | THQ                                 | PlayStation | 1996 | PAL
|       | Fluid                                                                                                  | SCEE                                | PlayStation | 1998 | PAL
|       | Flying Squadron                                                                                        | Phoenix Games                       | PlayStation | 2003 | PAL
|       | Football Madness                                                                                       | Phoenix Games                       | PlayStation | 2003 | PAL
|       | Football Manager Bundesliga 2001                                                                       | Electronic Arts                     | PlayStation | 2000 | PAL
|       | Ford Racing                                                                                            | Empire Interactive                  | PlayStation | 2001 | PAL
|       | Ford Truck Mania                                                                                       | Gotham Games                        | PlayStation | 2003 | PAL
